particles,matra,count,percentage,n_templates
1,1.0,5,0.23,1
1,2.0,2,0.09,1
2,1.5,130,6.00,2
2,2.5,107,4.94,2
3,2.0,884,40.77,3
3,3.0,153,7.06,3
3,3.5,12,0.55,2
3,4.5,3,0.14,1
4,2.5,413,19.05,3
4,3.0,31,1.43,2
4,3.5,47,2.17,4
4,4.0,174,8.03,4
4,5.0,16,0.74,2
5,3.0,47,2.17,2
5,3.5,20,0.92,3
5,4.0,8,0.37,4
5,4.5,76,3.51,5
5,5.5,3,0.14,1
5,6.0,3,0.14,1
6,3.5,1,0.05,1
6,4.0,6,0.28,1
6,4.5,3,0.14,2
6,5.0,10,0.46,5
6,5.5,3,0.14,3
6,6.0,1,0.05,1
6,6.5,1,0.05,1
6,7.5,1,0.05,1
7,4.5,2,0.09,2
7,5.0,1,0.05,1
7,5.5,1,0.05,1
7,6.0,2,0.09,2
7,7.0,1,0.05,1
9,9.0,1,0.05,1
