racana,name,1,2,3,4,5,6,7,8,9,10,row_total
CV1C,gamādi (गमादि),452,22,8,75,10,105,19,6,11,218,926
CCV1C,spadādi (स्पदादि),130,3,0,30,1,18,1,2,6,41,232
CV1CC,manthādi (मन्थादि),114,3,0,3,1,15,2,0,3,75,216
CV2C,vācādi (वाचादि),146,2,1,10,3,0,0,0,1,51,214
CV2,dhādi (धादि),24,10,7,16,2,6,0,0,21,3,89
V1C,iṣādi (इषादि),41,5,0,5,3,9,0,1,2,4,70
CCV2C,hrādādi (ह्रादादि),53,0,0,2,0,0,0,0,0,10,65
CV1,krādi (क्रादि),20,6,7,0,12,9,0,1,3,6,64
CCV2,sthādi (स्थादि),23,7,1,2,1,0,0,0,13,2,49
CCV1CC,spardhādi (स्पर्धादि),29,0,0,1,0,2,0,0,7,9,48
V1CC,,15,0,0,0,0,4,3,0,0,13,35
CCV1,,20,5,0,0,4,2,0,0,1,3,35
V2C,,19,4,0,0,1,0,0,0,0,4,28
CV2CC,,10,0,0,0,0,1,0,0,0,12,23
CV1CV2C,,2,1,0,0,0,0,0,0,0,4,7
V2CV1C,,1,1,0,0,0,0,0,0,0,3,5
V1,,2,1,1,0,1,0,0,0,0,0,5
CV2CV2,,0,2,0,3,0,0,0,0,0,0,5
CCCV1C,,3,0,0,1,0,0,0,0,0,0,4
CV1CCC,,3,0,0,0,0,0,0,0,0,1,4
CV2CV1,,2,1,0,0,0,0,0,0,0,0,3
CCCV2C,,3,0,0,0,0,0,0,0,0,0,3
CV1CCV2,,3,0,0,0,0,0,0,0,0,0,3
V2CC,,1,1,0,0,0,0,0,0,0,1,3
CCV2CC,,3,0,0,0,0,0,0,0,0,0,3
CV1CV2,,2,0,0,0,0,0,0,0,0,1,3
C,,1,0,0,0,0,0,0,0,0,1,2
CV2CCC,,1,0,0,0,0,0,0,0,0,1,2
CCCV2,,2,0,0,0,0,0,0,0,0,0,2
V2,,0,0,0,1,0,0,0,0,1,0,2
CV1CCV2C,,0,0,0,0,0,0,0,0,0,2,2
CCCCV2CC,,1,0,0,0,0,0,0,0,0,0,1
CV2CCCC,,1,0,0,0,0,0,0,0,0,0,1
V2CCCC,,1,0,0,0,0,0,0,0,0,0,1
V2CCC,,1,0,0,0,0,0,0,0,0,0,1
CCCV1CC,,1,0,0,0,0,0,0,0,0,0,1
CV1CCV1CV2,,1,0,0,0,0,0,0,0,0,0,1
CV1CV1C,,1,0,0,0,0,0,0,0,0,0,1
CCV1CV1C,,1,0,0,0,0,0,0,0,0,0,1
CCCCV1,,1,0,0,0,0,0,0,0,0,0,1
CCCV1,,0,1,0,0,0,0,0,0,0,0,1
CV1CV1CCV2,,0,1,0,0,0,0,0,0,0,0,1
CV2CV1C,,0,0,0,1,0,0,0,0,0,0,1
V1CV2CV1C,,0,0,0,1,0,0,0,0,0,0,1
V1CCV1C,,0,0,0,0,0,0,0,0,0,1,1
CV1CV2CC,,0,0,0,0,0,0,0,0,0,1,1
CV1CCCV2C,,0,0,0,0,0,0,0,0,0,1,1
TOTAL,,1134,76,25,151,39,171,25,10,69,468,2168
