matra,total,distinct_scaffolds,top_scaffold,top_count,top_pct,top_two,top_two_pct,top_three,top_three_pct,bracketed_v1_count,bracketed_v1_pct,short_vowel_count,short_vowel_pct,long_vowel_count,long_vowel_pct,weighted_contacts_per_matra
1.0,5,1,V1,5,100.00,V1 (5),100.00,V1 (5),100.00,0,0.00,5,100.00,0,0.00,0.000
1.5,130,2,V1C,65,50.00,V1C (65); CV1 (65),100.00,V1C (65); CV1 (65),100.00,0,0.00,130,100.00,0,0.00,0.667
2.0,886,4,CV1C,819,92.44,CV1C (819); CCV1 (35),96.39,CV1C (819); CCV1 (35); V1CC (30),99.77,819,92.44,884,99.77,2,0.23,0.998
2.5,520,5,CCV1C,209,40.19,CCV1C (209); CV1CC (203),79.23,CCV1C (209); CV1CC (203); CV2 (88),96.15,412,79.23,413,79.42,107,20.58,1.035
3.0,231,7,CV2C,101,43.72,CV2C (101); CCV2 (49),64.94,CV2C (101); CCV2 (49); CCV1CC (43),83.55,78,33.77,78,33.77,153,66.23,0.802
3.5,80,10,CV2CC,23,28.75,CV2CC (23); CCV2C (21),55.00,CV2CC (23); CCV2C (21); CV1CV1C (16),75.00,21,26.25,33,41.25,59,73.75,0.779
4.0,188,9,CV2CV1,105,55.85,CV2CV1 (105); CV1CV2 (58),86.70,CV2CV1 (105); CV1CV2 (58); CCV1CV1C (6),89.89,70,37.23,180,95.74,182,96.81,0.537
4.5,84,10,CCV2CV1,40,47.62,CCV2CV1 (40); CCV1CV2 (15),65.48,CCV2CV1 (40); CCV1CV2 (15); CV1CCV2 (14),82.14,40,47.62,80,95.24,80,95.24,0.667
5.0,27,8,CV2CV2,15,55.56,CV2CV2 (15); CCV1CCV2 (3),66.67,CV2CV2 (15); CCV1CCV2 (3); CCCV1CV2 (3),77.78,10,37.04,11,40.74,26,96.30,0.563
5.5,7,5,CCV2CV2,3,42.86,CCV2CV2 (3); CV1CV2CV1 (1),57.14,CCV2CV2 (3); CV1CV2CV1 (1); V2CV1CV1C (1),71.43,4,57.14,4,57.14,7,100.00,0.597
6.0,6,4,V2CV1CV2,3,50.00,V2CV1CV2 (3); CCCV2CV2 (1),66.67,V2CV1CV2 (3); CCCV2CV2 (1); CV1CCV1CV2 (1),83.33,5,83.33,5,83.33,6,100.00,0.500
6.5,1,1,V2CV1CCV2,1,100.00,V2CV1CCV2 (1),100.00,V2CV1CCV2 (1),100.00,1,100.00,1,100.00,1,100.00,0.462
7.0,1,1,V2CCV1CCV2,1,100.00,V2CCV1CCV2 (1),100.00,V2CCV1CCV2 (1),100.00,1,100.00,1,100.00,1,100.00,0.571
7.5,1,1,V2CCV2CV2,1,100.00,V2CCV2CV2 (1),100.00,V2CCV2CV2 (1),100.00,0,0.00,0,0.00,1,100.00,0.400
9.0,1,1,CCV2CCV2CCV2,1,100.00,CCV2CCV2CCV2 (1),100.00,CCV2CCV2CCV2 (1),100.00,0,0.00,0,0.00,1,100.00,0.667
