rank,shell,particles,count,percentage,cumulative_pct,top_exemplars
1,CV1C,3,818,37.73,37.73,"दध्, वद्, भद्, मद्, मुद्"
2,CCV1C,4,208,9.59,47.32,"स्कुद्, श्विद्, स्पद्, क्लिद्, ष्वद्"
3,CV1CC,4,203,9.36,56.69,"कुर्द्, खुर्द्, गुर्द्, पर्द्, कत्थ्"
4,CV2CV1,4,105,4.84,61.53,"गाधृ, बाधृ, नाधृ, नाथृ, वेथृ"
5,CV2C,3,101,4.66,66.19,"षूद्, काच्, लाच्, वाच्, कूज्"
6,CV2,2,87,4.01,70.20,"भू, दॄ, नॄ, जॄ, णी"
7,V1C,2,65,3.00,73.20,"अत्, अद्, इद्, अक्, अघ्"
8,CV1,2,65,3.00,76.20,"जि, न, भृ, हृ, धृ"
9,CV1CV2,4,55,2.54,78.74,"यती, चिती, षिधू, भृजी, कटे"
10,CCV2,3,49,2.26,81.00,"श्रा, ग्ला, स्ना, ग्लै, म्लै"
11,CCV1CC,5,43,1.98,82.98,"स्पर्ध्, स्वर्द्, ष्वस्क्, क्रुञ्च्, त्वञ्च्"
12,CCV2CV1,5,40,1.85,84.82,"श्लोकृ, स्रोकृ, द्रेकृ, ध्रेकृ, स्रेकृ"
13,CCV1,3,35,1.61,86.44,"क्षि, स्मृ, श्रि, ह्वृ, स्वृ"
14,V1CC,3,30,1.38,87.82,"उर्द्, अर्द्, अञ्च्, अर्च्, अर्ज्"
15,CV1CV1,4,30,1.38,89.21,"युतृ, जुतृ, विथृ, टिकृ, तिकृ"
16,CV2CC,4,23,1.06,90.27,"वेष्ट्, चेष्ट्, गोष्ट्, लोष्ट्, घूर्ण्"
17,CCV2C,4,21,0.97,91.24,"ह्राद्, स्वाद्, म्लेच्, ह्रीच्, क्षीज्"
18,V2C,2,19,0.88,92.11,"एध्, ईख्, ईज्, आच्, एठ्"
19,CV1CV1C,5,17,0.78,92.90,"घुषिर्, तुहिर्, दुहिर्, चदिर्, बुधिर्"
20,CV2CV2,4,15,0.69,93.59,"पूयी, गाहू, दीधी, वेवी, दीपी"
21,CV1CCV2,5,14,0.65,94.23,"हुर्चा, मुर्चा, तुर्वी, थुर्वी, दुर्वी"
22,CCV1CV2,5,13,0.60,94.83,"त्रपू, क्षमू, श्विता, ह्रगे, ह्लगे"
23,V2CV1,3,8,0.37,95.20,"ओखृ, एजृ, ओणृ, एषृ, आपॢ"
24,CCV1CV1C,6,6,0.28,95.48,"च्युतिर्, श्चुतिर्, ज्युतिर्, स्फुटिर्, स्खदिर्"
25,V2CV1C,4,6,0.28,95.76,"आङः्, ओलड्"
26,CV1CV2C,5,6,0.28,96.03,"वमां्, चमाम्, कुमार्, गवेष्, निवास्"
27,V1,1,5,0.23,96.26,"ऋ, उ, इ"
