rank,template,particles,count,percentage,cumulative_pct,top_exemplars
1,CV1C,3,819,37.78,37.78,"दध्, वद्, भद्, मद्, मुद्"
2,CCV1C,4,209,9.64,47.42,"स्कुद्, श्विद्, स्पद्, क्लिद्, ष्वद्"
3,CV1CC,4,203,9.36,56.78,"कुर्द्, खुर्द्, गुर्द्, पर्द्, कत्थ्"
4,CV2CV1,4,105,4.84,61.62,"गाधृ, बाधृ, नाधृ, नाथृ, वेथृ"
5,CV2C,3,101,4.66,66.28,"षूद्, काच्, लाच्, वाच्, कूज्"
6,CV2,2,88,4.06,70.34,"भू, दॄ, नॄ, जॄ, णी"
7,V1C,2,65,3.00,73.34,"अत्, अद्, इद्, अक्, अघ्"
8,CV1,2,65,3.00,76.34,"जि, न, भृ, हृ, धृ"
9,CV1CV2,4,58,2.68,79.01,"यती, चिती, षिधू, भृजी, कटे"
10,CCV2,3,49,2.26,81.27,"श्रा, ग्ला, स्ना, ग्लै, म्लै"
11,CCV1CC,5,43,1.98,83.26,"स्पर्ध्, स्वर्द्, ष्वस्क्, क्रुञ्च्, त्वञ्च्"
12,CCV2CV1,5,40,1.85,85.10,"श्लोकृ, स्रोकृ, द्रेकृ, ध्रेकृ, स्रेकृ"
13,CCV1,3,35,1.61,86.72,"क्षि, स्मृ, श्रि, ह्वृ, स्वृ"
14,V1CC,3,30,1.38,88.10,"उर्द्, अर्द्, अञ्च्, अर्च्, अर्ज्"
15,CV1CV1,4,30,1.38,89.48,"युतृ, जुतृ, विथृ, टिकृ, तिकृ"
16,CV2CC,4,23,1.06,90.54,"वेष्ट्, चेष्ट्, गोष्ट्, लोष्ट्, घूर्ण्"
17,CCV2C,4,21,0.97,91.51,"ह्राद्, स्वाद्, म्लेच्, ह्रीच्, क्षीज्"
18,V2C,2,19,0.88,92.39,"एध्, ईख्, ईज्, आच्, एठ्"
19,CV1CV1C,5,16,0.74,93.13,"घुषिर्, तुहिर्, दुहिर्, चदिर्, बुधिर्"
20,CCV1CV2,5,15,0.69,93.82,"त्रपू, क्षमू, श्विता, ष्विदा, त्वरा"
21,CV2CV2,4,15,0.69,94.51,"पूयी, गाहू, दीधी, वेवी, दीपी"
22,CV1CCV2,5,14,0.65,95.16,"हुर्चा, मुर्चा, तुर्वी, थुर्वी, दुर्वी"
23,V2CV1,3,8,0.37,95.53,"ओखृ, एजृ, ओणृ, एषृ, आपॢ"
24,CCV1CV1C,6,6,0.28,95.80,"च्युतिर्, श्चुतिर्, ज्युतिर्, स्फुटिर्, स्खदिर्"
25,V2CV1C,4,6,0.28,96.08,"आङः्, ओलड्"
26,CV1CV2C,5,6,0.28,96.36,"वमां्, चमाम्, कुमार्, गवेष्, निवास्"
27,V1CCV2,4,5,0.23,96.59,"उर्वी, अक्षू, इन्धी, उन्दी, अञ्जू"
28,V1,1,5,0.23,96.82,"ऋ, उ, इ"
29,V1CV2,3,4,0.18,97.00,"उची, अशू, ऋषी"
30,CV1CCC,5,4,0.18,97.19,"षर्क्ष्, जर्त्स्, झर्त्स्, भर्त्स्"
31,CCV2CC,5,4,0.18,97.37,"द्राक्ष्, ध्राक्ष्, ध्वाक्ष्, ट्वोश्व्"
32,CCV2CV2,5,3,0.14,97.51,"ह्लादी, क्नूयी, स्फायी"
33,CCV1CCV2,6,3,0.14,97.65,"स्फुर्चा, त्वक्षू, स्यन्दू"
34,V2CV2,3,3,0.14,97.79,"ऊयी, ओवै, ओहा"
35,V2CC,3,3,0.14,97.92,"ईक्ष्, ऊर्ण्, ऊर्ज्"
36,CCCV1CV2,6,3,0.14,98.06,क्ष्विदा
37,V2CV1CV2,5,3,0.14,98.20,"ओविजी, ओलजी"
38,V1CCV1C,5,3,0.14,98.34,"उध्रस्, उघ्रस्"
39,CV2CCC,5,2,0.09,98.43,"सूर्क्ष्, षान्त्व्"
40,CCCV2,4,2,0.09,98.52,"स्त्यै, ष्ट्यै"
41,V2,1,2,0.09,98.62,"ई, ॠ"
42,V1CV1CV1C,6,2,0.09,98.71,"उचृदिर्, उतृदिर्"
43,CV1CCV2C,6,2,0.09,98.80,"पल्यूल्, सङ्केत्"
44,CCCV1CV1C,7,1,0.05,98.85,श्च्युतिर्
45,CCV2CCV2CCV2,9,1,0.05,98.89,ट्वोस्फूर्जा
46,CCV1CV1,5,1,0.05,98.94,ष्टिपृ
