root,preverb,pratyaya_class,count
vac,,fin:Past+Ind+Act,16084
as,,fin:Pres+Ind+Act,15743
bhū,,fin:Pres+Ind+Act,14098
kṛ,,nfin:Part,10456
as,,fin:Pres+Opt+Act,9505
ah,,fin:Past+Ind+Act,9447
vac,,nfin:Part,9284
gam,,nfin:Part,7389
bhū,,fin:Pres+Opt+Act,6763
kṛ,,nfin:Conv,6034
brū,,fin:Impf+Ind+Act,5669
kṛ,,fin:Pres+Ind+Act,5451
dṛś,,nfin:Conv,5363
sthā,,nfin:Part,4797
kṛ,,fin:Pres+Opt+Act,4591
bhū,,fin:Past+Ind+Act,4377
jan,,nfin:Part,4285
yuj,,nfin:Part,4239
śru,,nfin:Conv,3963
vid,,fin:Past+Ind+Act,3808
bhū,,fin:Impf+Ind+Act,3769
kṛ,,nfin:Gdv,3576
bhū,,fin:Fut+Ind+Act,3520
as,,nfin:Part,3487
han,,nfin:Part,3457
smṛ,,nfin:Part,3303
yaj,,nfin:Part,3244
dṛś,,nfin:Part,3234
kṛ,,fin:Past+Ind+Act,3199
as,,fin:Impf+Ind+Act,3032
as,,fin:Pres+Imp+Act,3028
vac,,fin:Pres+Ind+Pass,2996
jan,,fin:Pres+Ind+Act,2898
prāp,pra,nfin:Part,2840
bhū,,nfin:Part,2645
hu,,fin:Pres+Ind+Act,2640
gam,ā,nfin:Part,2463
gam,,fin:Past+Ind+Act,2457
vac,,nfin:Conv,2372
arh,,fin:Pres+Ind+Act,2280
yā,,fin:Pres+Ind+Act,2162
iṣ,,fin:Pres+Ind+Act,2153
kṛ,,fin:Pres+Imp+Act,2094
dā,,fin:Pres+Opt+Act,2077
śru,,fin:Pres+Imp+Act,2062
vid,,nfin:Part,2043
dā,,nfin:Part,2039
dṛś,,fin:Past+Ind+Act,2015
gam,,nfin:Conv,1948
vac,pra,nfin:Part,1932
bhū,,fin:Pres+Imp+Act,1906
dā,,nfin:Conv,1834
mṛ,,nfin:Part,1815
dā,ā,nfin:Conv,1790
śudh,,nfin:Part,1790
dhā,,fin:Pres+Ind+Act,1768
gam,,fin:Pres+Ind+Act,1767
i,,fin:Pres+Ind+Act,1750
śru,,nfin:Part,1660
man,,fin:Pres+Ind+Act,1653
pā,,fin:Pres+Imp+Act,1575
iṣ,,nfin:Part,1554
sidh,,nfin:Part,1553
bhū,,nfin:Conv,1538
krudh,,nfin:Part,1529
ji,,nfin:Part,1517
man,,nfin:Part,1502
pat,,nfin:Part,1492
vac,,fin:Fut+Ind+Act,1481
hā,,nfin:Part,1452
sthā,,fin:Pres+Ind+Act,1450
grah,,fin:Pres+Ind+Act,1439
yā,,fin:Past+Ind+Act,1438
dā,,fin:Pres+Ind+Act,1434
jñā,,nfin:Gdv,1427
bandh,,nfin:Part,1420
han,,fin:Pres+Ind+Act,1388
paś,,fin:Impf+Ind+Act,1385
yaj,,fin:Pres+Ind+Act,1363
muc,,nfin:Part,1360
kathay,,nfin:Part,1340
grah,,nfin:Conv,1330
grah,,nfin:Part,1320
dā,,nfin:Gdv,1319
prāp,pra,nfin:Conv,1315
gam,,fin:Pres+Imp+Act,1290
kṛ,,fin:Fut+Ind+Act,1257
car,,fin:Pres+Ind+Act,1249
pṛ,,nfin:Part,1248
han,ni,nfin:Part,1246
pā,,fin:Pres+Opt+Act,1235
pac,,fin:Pres+Opt+Act,1225
vad,,fin:Pres+Ind+Act,1222
prāh,pra,fin:Past+Ind+Act,1220
paś,,fin:Pres+Ind+Act,1189
dṛś,,fin:Pres+Ind+Pass,1188
yuj,sam,nfin:Part,1186
prī,,nfin:Part,1176
vid,,fin:Pres+Ind+Pass,1156
dā,,fin:Past+Ind+Act,1152
vid,,fin:Pres+Opt+Act,1135
paś,,fin:Pres+Imp+Act,1132
brū,,fin:Pres+Opt+Act,1124
hu,,fin:Pres+Opt+Act,1122
dah,,nfin:Part,1118
brū,,fin:Pres+Imp+Act,1106
jan,,fin:Past+Ind+Act,1104
vad,,nfin:Part,1101
jṛ,,nfin:Part,1085
pūjay,,nfin:Part,1085
vṛt,,nfin:Part,1085
pū,,nfin:Part,1079
vṛ,,nfin:Part,1078
jñā,,fin:Pres+Ind+Act,1073
dīp,,nfin:Part,1062
hu,,nfin:Part,1056
āp,,fin:Pres+Ind+Act,1055
pracch,,nfin:Part,1054
dṛś,,fin:Pres+Ind+Act,1052
bhid,,nfin:Part,1010
kāray,,fin:Pres+Opt+Act,998
tap,,nfin:Part,996
jñā,,nfin:Conv,995
pad,sam,nfin:Part,994
vid,,fin:Pres+Ind+Act,988
marday,,fin:Pres+Opt+Act,980
kṛ,,fin:Impf+Ind+Act,979
hṛṣ,,nfin:Part,974
car,,nfin:Part,969
kathay,,fin:Pres+Ind+Act,942
gam,,fin:Pres+Opt+Act,934
dhā,vi,nfin:Part,927
sāday,ā,nfin:Conv,927
han,,nfin:Conv,926
hṛ,,nfin:Part,921
dhā,,fin:Pres+Imp+Act,920
brū,,fin:Pres+Ind+Act,919
kṛ,,nfin:Inf,906
śam,,nfin:Part,906
ṣṭhā,prati,nfin:Part,902
snā,,nfin:Conv,901
vṛt,,fin:Pres+Ind+Act,889
upe,upa,nfin:Part,880
labh,,nfin:Part,877
viś,pra,nfin:Part,872
muh,,nfin:Part,864
pā,,nfin:Part,861
labh,,fin:Pres+Ind+Act,856
hu,,nfin:Conv,853
sthā,,fin:Past+Ind+Act,843
kṣi,,nfin:Part,842
han,,fin:Past+Ind+Act,836
ram,,nfin:Part,834
dā,,fin:Pres+Imp+Act,833
kṛ,,fin:Pres+Ind+Pass,814
vṛ,ā,nfin:Part,811
bhī,,nfin:Part,800
chid,,nfin:Part,796
grah,,fin:Past+Ind+Act,786
kṣip,,fin:Pres+Opt+Act,785
aś,,fin:Pres+Ind+Act,765
vṛt,pra,nfin:Part,761
jñā,,nfin:Part,760
sṛj,,nfin:Part,759
ās,,nfin:Part,757
juṣ,,nfin:Part,754
car,,fin:Pres+Opt+Act,738
yam,ni,nfin:Part,738
sthā,,fin:Pres+Imp+Act,736
vas,,nfin:Part,736
stu,,nfin:Part,733
gam,,fin:Fut+Ind+Act,732
upe,upa,fin:Pres+Ind+Act,732
udi,ut,nfin:Part,729
yam,pra,fin:Pres+Ind+Act,728
yā,,fin:Pres+Imp+Act,726
yā,,nfin:Part,725
bhuj,,nfin:Part,724
svap,,nfin:Part,723
naś,,nfin:Part,721
su,,nfin:Part,708
duṣ,,nfin:Part,706
mad,,nfin:Part,702
varjay,,nfin:Part,702
ās,,fin:Pres+Ind+Act,700
sthā,sam,nfin:Part,699
grah,,nfin:Gdv,694
tyaj,,nfin:Conv,691
e,ā,fin:Pres+Imp+Act,684
jñā,vi,nfin:Gdv,683
hṛ,,fin:Pres+Ind+Act,682
dhṛ,,nfin:Part,679
śri,ā,nfin:Part,679
dru,,nfin:Part,673
vid,,fin:Pres+Imp+Act,664
jīv,,fin:Pres+Ind+Act,662
vṛt,pra,fin:Pres+Ind+Act,659
gam,ā,fin:Past+Ind+Act,657
yaj,,fin:Pres+Opt+Act,656
vac,,nfin:Gdv,653
khyā,,nfin:Part,650
pad,ut,nfin:Part,650
sad,pra,nfin:Part,650
pūjay,,fin:Pres+Opt+Act,644
kṣip,,nfin:Conv,643
sthā,upa,fin:Pres+Ind+Act,630
jval,,nfin:Part,629
dṛś,,nfin:Inf,628
jap,,fin:Pres+Opt+Act,628
rudh,ava,fin:Pres+Ind+Act,625
bhāvay,,nfin:Part,623
sev,,nfin:Part,623
tuṣ,,nfin:Part,623
pīḍay,,nfin:Part,621
i,,fin:Pres+Imp+Act,618
jīv,,nfin:Part,618
prāp,pra,fin:Pres+Ind+Act,618
han,,fin:Pres+Imp+Act,614
ji,,fin:Pres+Ind+Act,614
vac,,nfin:Inf,613
vṛdh,,nfin:Part,608
bhṛ,,nfin:Part,605
brū,,nfin:Part,605
sṛj,,fin:Impf+Ind+Act,604
upās,upa,fin:Pres+Ind+Act,600
dviṣ,,nfin:Part,596
vac,pra,fin:Fut+Ind+Act,596
gam,ā,nfin:Conv,595
yam,ā,nfin:Part,595
śru,vi,nfin:Part,595
pat,,fin:Past+Ind+Act,591
sthā,ā,nfin:Conv,591
samprāp,sampra,nfin:Part,582
vah,,fin:Pres+Ind+Act,580
dhā,ā,fin:Pres+Ind+Act,578
bhañj,,nfin:Part,577
vyadh,,fin:Past+Ind+Act,576
rakṣ,,nfin:Part,574
udyam,ut,nfin:Part,574
viś,pra,nfin:Conv,574
hvā,,fin:Pres+Ind+Act,570
khyā,vyā,nfin:Part,567
kṛ,vi,nfin:Part,565
thā,ut,nfin:Part,564
atī,ati,nfin:Part,562
vad,,fin:Pres+Imp+Act,559
sthā,vyava,nfin:Part,558
śak,,nfin:Part,553
dviṣ,,fin:Pres+Ind+Act,552
vas,,fin:Pres+Ind+Act,551
yojay,,fin:Pres+Opt+Act,546
dhā,,nfin:Part,545
rudh,,nfin:Conv,545
sthā,ava,nfin:Part,545
śā,ni,nfin:Part,545
sthā,ā,nfin:Part,544
krudh,sam,nfin:Part,542
pad,upa,nfin:Part,541
pracch,,fin:Past+Ind+Act,541
cyu,,nfin:Part,536
bandh,,nfin:Conv,534
dhā,ni,nfin:Conv,534
vap,niḥ,fin:Pres+Opt+Act,534
han,,fin:Pres+Opt+Act,531
jan,pra,fin:Pres+Ind+Act,531
muc,,fin:Pres+Ind+Pass,530
bhāṣ,,fin:Impf+Ind+Act,528
pū,,fin:Pres+Ind+Act,528
bhṛ,,fin:Pres+Ind+Act,527
dham,,nfin:Part,527
pracch,,fin:Pres+Ind+Act,527
kīrtay,pra,nfin:Part,526
śrī,,nfin:Part,526
varjay,vi,nfin:Part,525
viś,,fin:Past+Ind+Act,525
śaṃs,,fin:Pres+Ind+Act,523
budh,ni,fin:Pres+Imp+Act,522
śru,,nfin:Inf,522
khyā,vyā,fin:Fut+Ind+Act,518
vraj,,fin:Pres+Opt+Act,518
dīkṣ,,nfin:Part,517
dṛś,,nfin:Gdv,517
car,ā,fin:Pres+Opt+Act,515
alaṃkṛ,alam,nfin:Part,509
vṛ,sam,nfin:Part,507
dhā,upa,fin:Pres+Ind+Act,506
ṇam,pra,nfin:Conv,506
chid,,fin:Past+Ind+Act,505
dā,ā,fin:Pres+Ind+Act,500
kṣip,,nfin:Part,500
thā,ut,nfin:Conv,500
