root,valency,tokens,first_consonant,vowel,articulation_place,varga_column,bonding_cluster
kṛ,1062,50155,k,ṛ,kavarga,C1 (unvoiced unaspirate),0
bhū,504,44848,bh,ū,pavarga,C4 (voiced aspirate),1
dhā,386,17082,dh,ā,tavarga,C4 (voiced aspirate),6
hṛ,368,9296,h,ṛ,glottal,non-varga (glottal),17
vṛt,293,8572,v,ṛ,semivowel,non-varga (semivowel),18
gam,291,29902,g,a,kavarga,C3 (voiced unaspirate),4
nī,253,5852,n,ī,tavarga,C5 (nasal),28
kram,244,4314,k,a,kavarga,C1 (unvoiced unaspirate),35
han,216,14364,h,a,glottal,non-varga (glottal),9
pad,207,7629,p,a,pavarga,C1 (unvoiced unaspirate),19
yā,205,10316,y,ā,semivowel,non-varga (semivowel),13
vartay,194,1814,v,a,semivowel,non-varga (semivowel),
grah,182,10607,g,a,kavarga,C3 (voiced unaspirate),12
sṛj,182,6260,s,ṛ,sibilant,non-varga (sibilant),23
dā,176,17897,d,ā,tavarga,C3 (voiced unaspirate),5
jñā,176,9816,j,ā,cavarga,C3 (voiced unaspirate),15
yuj,172,10312,y,u,semivowel,non-varga (semivowel),14
car,170,7504,c,a,cavarga,C1 (unvoiced unaspirate),20
sthā,166,15989,s,ā,sibilant,non-varga (sibilant),7
pat,164,6052,p,a,pavarga,C1 (unvoiced unaspirate),25
viś,163,7095,v,i,semivowel,non-varga (semivowel),21
kṣip,154,4955,k,i,kavarga,C1 (unvoiced unaspirate),33
ruh,153,2855,r,u,semivowel,non-varga (semivowel),47
yam,146,5299,y,a,semivowel,non-varga (semivowel),30
diś,136,2654,d,i,tavarga,C3 (voiced unaspirate),54
muc,135,6170,m,u,pavarga,C5 (nasal),24
vah,133,2676,v,a,semivowel,non-varga (semivowel),51
kṛṣ,132,1336,k,ṛ,kavarga,C1 (unvoiced unaspirate),
vas,128,4122,v,a,semivowel,non-varga (semivowel),38
vad,125,4785,v,a,semivowel,non-varga (semivowel),24
gā,124,2915,g,ā,kavarga,C3 (voiced unaspirate),46
vṛ,121,5094,v,ṛ,semivowel,non-varga (semivowel),32
rudh,114,3045,r,u,semivowel,non-varga (semivowel),41
sṛp,113,689,s,ṛ,sibilant,non-varga (sibilant),
sṛ,112,1356,s,ṛ,sibilant,non-varga (sibilant),
jan,108,11478,j,a,cavarga,C3 (voiced unaspirate),11
śri,108,2792,ś,i,sibilant,non-varga (sibilant),49
vap,107,2188,v,a,semivowel,non-varga (semivowel),38
dru,105,2765,d,u,tavarga,C3 (voiced unaspirate),46
bandh,104,3539,b,a,pavarga,C3 (voiced unaspirate),41
hā,101,3780,h,ā,glottal,non-varga (glottal),40
ji,100,5666,j,i,cavarga,C3 (voiced unaspirate),10
labh,100,5263,l,a,semivowel,non-varga (semivowel),31
dah,100,2965,d,a,tavarga,C3 (voiced unaspirate),24
pāday,100,1513,p,ā,pavarga,C1 (unvoiced unaspirate),
kalpay,99,1909,k,a,kavarga,C1 (unvoiced unaspirate),
vac,98,38480,v,a,semivowel,non-varga (semivowel),2
mṛj,97,1072,m,ṛ,pavarga,C5 (nasal),
tap,96,3111,t,a,tavarga,C1 (unvoiced unaspirate),22
dhāv,96,1549,dh,ā,tavarga,C4 (voiced aspirate),
veśay,96,1136,v,e,semivowel,non-varga (semivowel),
bhāṣ,95,2471,bh,ā,pavarga,C4 (voiced aspirate),56
khyā,94,4255,kh,ā,kavarga,C2 (unvoiced aspirate),37
sthāpay,93,1954,s,ā,sibilant,non-varga (sibilant),
sāday,91,3019,s,ā,sibilant,non-varga (sibilant),45
sad,90,3020,s,a,sibilant,non-varga (sibilant),44
budh,89,2409,b,u,pavarga,C3 (voiced unaspirate),58
mantray,88,2155,m,a,pavarga,C5 (nasal),65
ci,88,1768,c,i,cavarga,C1 (unvoiced unaspirate),
dhāray,87,2182,dh,ā,tavarga,C4 (voiced aspirate),38
vāray,87,1860,v,ā,semivowel,non-varga (semivowel),
yojay,86,1821,y,o,semivowel,non-varga (semivowel),
śaṃs,85,3408,ś,a,sibilant,non-varga (sibilant),37
mā,85,2734,m,ā,pavarga,C5 (nasal),41
vāsay,85,671,v,ā,semivowel,non-varga (semivowel),
tṛ,84,1947,t,ṛ,tavarga,C1 (unvoiced unaspirate),
stṛ,84,1586,s,ṛ,sibilant,non-varga (sibilant),
vyadh,83,2304,v,a,semivowel,non-varga (semivowel),56
pātay,81,1521,p,ā,pavarga,C1 (unvoiced unaspirate),
bhuj,80,3076,bh,u,pavarga,C4 (voiced aspirate),41
bhaj,80,2054,bh,a,pavarga,C4 (voiced aspirate),66
mṛś,80,985,m,ṛ,pavarga,C5 (nasal),
dṛś,79,15392,d,ṛ,tavarga,C3 (voiced unaspirate),8
pā,79,5661,p,ā,pavarga,C1 (unvoiced unaspirate),29
bhāvay,79,2033,bh,ā,pavarga,C4 (voiced aspirate),67
sāray,79,708,s,ā,sibilant,non-varga (sibilant),
śru,78,11586,ś,u,sibilant,non-varga (sibilant),8
tan,78,1677,t,a,tavarga,C1 (unvoiced unaspirate),
ṣṭhā,77,2822,ṣ,ā,sibilant,non-varga (sibilant),48
darśay,77,1850,d,a,tavarga,C3 (voiced unaspirate),
vraj,77,1749,v,a,semivowel,non-varga (semivowel),
pīḍay,77,1381,p,ī,pavarga,C1 (unvoiced unaspirate),
sic,77,1165,s,i,sibilant,non-varga (sibilant),
hvā,76,2404,h,ā,glottal,non-varga (glottal),59
as,75,36765,—,a,vowel-initial,non-varga (vowel-initial),3
ram,75,2367,r,a,semivowel,non-varga (semivowel),61
man,74,6008,m,a,pavarga,C5 (nasal),27
kṛt,74,650,k,ṛ,kavarga,C1 (unvoiced unaspirate),
paś,73,5473,p,a,pavarga,C1 (unvoiced unaspirate),22
vāhay,73,553,v,ā,semivowel,non-varga (semivowel),
bhṛ,72,2737,bh,ṛ,pavarga,C4 (voiced aspirate),50
bhid,72,2661,bh,i,pavarga,C4 (voiced aspirate),52
cintay,72,2313,c,i,cavarga,C1 (unvoiced unaspirate),24
kruś,72,540,k,u,kavarga,C1 (unvoiced unaspirate),
pūray,71,1132,p,ū,pavarga,C1 (unvoiced unaspirate),
rabh,70,1847,r,a,semivowel,non-varga (semivowel),
veday,70,1308,v,e,semivowel,non-varga (semivowel),
vid,69,11773,v,i,semivowel,non-varga (semivowel),10
ropay,69,739,r,o,semivowel,non-varga (semivowel),
cchid,69,596,c,i,cavarga,C1 (unvoiced unaspirate),
plu,68,1028,p,u,pavarga,C1 (unvoiced unaspirate),
cakṣ,67,1563,c,a,cavarga,C1 (unvoiced unaspirate),
vṛj,67,494,v,ṛ,semivowel,non-varga (semivowel),
pūjay,66,4071,p,ū,pavarga,C1 (unvoiced unaspirate),39
yaj,65,7015,y,a,semivowel,non-varga (semivowel),22
smṛ,65,4689,s,ṛ,sibilant,non-varga (sibilant),2
jñāpay,64,650,j,ā,cavarga,C3 (voiced unaspirate),
śvas,63,852,ś,a,sibilant,non-varga (sibilant),
dhyā,62,1380,dh,ā,tavarga,C4 (voiced aspirate),
ūh,62,683,—,ū,vowel-initial,non-varga (vowel-initial),
cāray,62,614,c,ā,cavarga,C1 (unvoiced unaspirate),
rakṣ,61,2376,r,a,semivowel,non-varga (semivowel),22
bodhay,61,427,b,o,pavarga,C3 (voiced unaspirate),
thā,60,2216,th,ā,tavarga,C2 (unvoiced aspirate),64
lip,60,1333,l,i,semivowel,non-varga (semivowel),
śās,60,1295,ś,ā,sibilant,non-varga (sibilant),
nam,60,1293,n,a,tavarga,C5 (nasal),
likh,60,867,l,i,semivowel,non-varga (semivowel),
sru,60,768,s,u,sibilant,non-varga (sibilant),
dhū,60,712,dh,ū,tavarga,C4 (voiced aspirate),
bādh,60,646,b,ā,pavarga,C3 (voiced unaspirate),
i,59,4271,—,i,vowel-initial,non-varga (vowel-initial),36
vṛdh,59,2321,v,ṛ,semivowel,non-varga (semivowel),62
math,59,794,m,a,pavarga,C5 (nasal),
lī,59,717,l,ī,semivowel,non-varga (semivowel),
pracch,57,3286,p,a,pavarga,C1 (unvoiced unaspirate),42
mṛd,57,833,m,ṛ,pavarga,C5 (nasal),
śī,56,1336,ś,ī,sibilant,non-varga (sibilant),
śṛ,56,541,ś,ṛ,sibilant,non-varga (sibilant),
spṛś,55,2031,s,ṛ,sibilant,non-varga (sibilant),65
sev,55,1587,s,e,sibilant,non-varga (sibilant),
lokay,55,1061,l,o,semivowel,non-varga (semivowel),
vāday,55,724,v,ā,semivowel,non-varga (semivowel),
brū,54,10603,b,ū,pavarga,C3 (voiced unaspirate),2
ṇī,54,799,ṇ,ī,ṭavarga,C5 (nasal),
tāray,54,491,t,ā,tavarga,C1 (unvoiced unaspirate),
ṣic,53,1189,ṣ,i,sibilant,non-varga (sibilant),
gāh,53,442,g,ā,kavarga,C3 (voiced unaspirate),
ghrā,53,437,gh,ā,kavarga,C4 (voiced aspirate),
lamb,52,494,l,a,semivowel,non-varga (semivowel),
lup,52,241,l,u,semivowel,non-varga (semivowel),
śam,51,1651,ś,a,sibilant,non-varga (sibilant),
veṣṭay,51,703,v,e,semivowel,non-varga (semivowel),
sah,50,1353,s,a,sibilant,non-varga (sibilant),
lakṣay,50,1016,l,a,semivowel,non-varga (semivowel),
vā,50,487,v,ā,semivowel,non-varga (semivowel),
yu,50,393,y,u,semivowel,non-varga (semivowel),
dham,49,1470,dh,a,tavarga,C4 (voiced aspirate),
kṣi,49,1400,k,i,kavarga,C1 (unvoiced unaspirate),
has,49,1075,h,a,glottal,non-varga (glottal),
pālay,49,878,p,ā,pavarga,C1 (unvoiced unaspirate),
śrāvay,49,750,ś,ā,sibilant,non-varga (sibilant),
vardhay,49,710,v,a,semivowel,non-varga (semivowel),
śaṅk,49,447,ś,a,sibilant,non-varga (sibilant),
hāray,49,190,h,ā,glottal,non-varga (glottal),
tyaj,48,3337,t,a,tavarga,C1 (unvoiced unaspirate),39
jīv,48,2504,j,ī,cavarga,C3 (voiced unaspirate),55
varjay,48,2455,v,a,semivowel,non-varga (semivowel),57
dhṛ,48,1506,dh,ṛ,tavarga,C4 (voiced aspirate),
sā,48,500,s,ā,sibilant,non-varga (sibilant),
hu,47,6881,h,u,glottal,non-varga (glottal),10
āp,47,3101,—,ā,vowel-initial,non-varga (vowel-initial),43
īkṣ,47,1333,—,ī,vowel-initial,non-varga (vowel-initial),
śiṣ,47,1286,ś,i,sibilant,non-varga (sibilant),
sañj,47,1254,s,a,sibilant,non-varga (sibilant),
gamay,47,525,g,a,kavarga,C3 (voiced unaspirate),
dīpay,47,242,d,ī,tavarga,C3 (voiced unaspirate),
bhā,46,1450,bh,ā,pavarga,C4 (voiced aspirate),
yudh,46,1409,y,u,semivowel,non-varga (semivowel),
plāvay,46,209,p,ā,pavarga,C1 (unvoiced unaspirate),
stu,45,2575,s,u,sibilant,non-varga (sibilant),55
