root,valency_path_c,total_tokens,distinct_preverbs,distinct_pratyayas
kṛ,1062,50155,491,25
bhū,504,44848,280,24
dhā,386,17082,70,24
hṛ,368,9296,77,19
vṛt,293,8572,60,20
gam,291,29902,55,24
nī,253,5852,53,22
kram,244,4314,54,20
han,216,14364,43,20
pad,207,7629,41,19
yā,205,10316,52,15
vartay,194,1814,46,17
grah,182,10607,34,23
sṛj,182,6260,44,22
dā,176,17897,38,22
jñā,176,9816,34,20
yuj,172,10312,29,20
car,170,7504,38,16
sthā,166,15989,38,21
pat,164,6052,36,18
viś,163,7095,36,18
kṣip,154,4955,35,16
ruh,153,2855,39,17
yam,146,5299,35,21
diś,136,2654,27,17
muc,135,6170,22,24
vah,133,2676,32,20
kṛṣ,132,1336,28,17
vas,128,4122,27,16
vad,125,4785,28,18
gā,124,2915,31,22
vṛ,121,5094,25,21
rudh,114,3045,21,16
sṛp,113,689,32,14
sṛ,112,1356,34,15
jan,108,11478,24,21
śri,108,2792,31,18
vap,107,2188,24,17
dru,105,2765,38,12
bandh,104,3539,21,16
hā,101,3780,27,21
ji,100,5666,16,21
labh,100,5263,18,17
dah,100,2965,20,18
pāday,100,1513,19,14
kalpay,99,1909,16,18
vac,98,38480,22,19
mṛj,97,1072,24,16
tap,96,3111,20,20
dhāv,96,1549,31,13
veśay,96,1136,20,15
bhāṣ,95,2471,20,15
khyā,94,4255,24,16
sthāpay,93,1954,17,17
sāday,91,3019,18,15
sad,90,3020,25,18
budh,89,2409,19,16
mantray,88,2155,15,14
ci,88,1768,22,17
dhāray,87,2182,18,16
vāray,87,1860,18,16
yojay,86,1821,19,15
śaṃs,85,3408,20,17
mā,85,2734,14,19
vāsay,85,671,19,15
tṛ,84,1947,17,18
stṛ,84,1586,25,18
vyadh,83,2304,23,16
pātay,81,1521,21,14
bhuj,80,3076,20,19
bhaj,80,2054,15,19
mṛś,80,985,21,13
dṛś,79,15392,14,23
pā,79,5661,17,22
bhāvay,79,2033,21,14
sāray,79,708,22,12
śru,78,11586,13,24
tan,78,1677,20,20
ṣṭhā,77,2822,18,16
darśay,77,1850,13,13
vraj,77,1749,22,11
pīḍay,77,1381,21,14
sic,77,1165,21,18
hvā,76,2404,16,18
as,75,36765,13,16
ram,75,2367,16,16
man,74,6008,16,17
kṛt,74,650,19,16
paś,73,5473,20,10
vāhay,73,553,15,12
bhṛ,72,2737,16,22
bhid,72,2661,17,21
cintay,72,2313,15,14
kruś,72,540,20,11
pūray,71,1132,14,15
rabh,70,1847,15,17
veday,70,1308,15,13
vid,69,11773,14,23
ropay,69,739,19,12
cchid,69,596,15,16
plu,68,1028,25,8
cakṣ,67,1563,18,13
vṛj,67,494,16,19
pūjay,66,4071,15,14
yaj,65,7015,15,18
smṛ,65,4689,12,14
jñāpay,64,650,12,15
śvas,63,852,19,12
dhyā,62,1380,17,11
ūh,62,683,12,13
cāray,62,614,15,13
rakṣ,61,2376,10,18
bodhay,61,427,12,14
thā,60,2216,11,14
lip,60,1333,17,10
śās,60,1295,12,17
nam,60,1293,15,17
