root,valency,tokens,tier
kṛ,1062,50155,Polyvalent
bhū,504,44848,Polyvalent
dhā,386,17082,Polyvalent
hṛ,368,9296,Polyvalent
vṛt,293,8572,Polyvalent
gam,291,29902,Polyvalent
nī,253,5852,Polyvalent
kram,244,4314,Polyvalent
han,216,14364,Polyvalent
pad,207,7629,Polyvalent
yā,205,10316,Polyvalent
vartay,194,1814,Polyvalent
grah,182,10607,Polyvalent
sṛj,182,6260,Polyvalent
dā,176,17897,Polyvalent
jñā,176,9816,Polyvalent
yuj,172,10312,Polyvalent
car,170,7504,Polyvalent
sthā,166,15989,Polyvalent
pat,164,6052,Polyvalent
viś,163,7095,Polyvalent
kṣip,154,4955,Polyvalent
ruh,153,2855,Polyvalent
yam,146,5299,Polyvalent
diś,136,2654,Polyvalent
muc,135,6170,Polyvalent
vah,133,2676,Polyvalent
kṛṣ,132,1336,Polyvalent
vas,128,4122,Polyvalent
vad,125,4785,Polyvalent
gā,124,2915,Polyvalent
vṛ,121,5094,Polyvalent
rudh,114,3045,Polyvalent
sṛp,113,689,Polyvalent
sṛ,112,1356,Polyvalent
jan,108,11478,Polyvalent
śri,108,2792,Polyvalent
vap,107,2188,Polyvalent
dru,105,2765,Polyvalent
bandh,104,3539,Polyvalent
hā,101,3780,Polyvalent
ji,100,5666,Polyvalent
labh,100,5263,Polyvalent
dah,100,2965,Polyvalent
pāday,100,1513,Polyvalent
kalpay,99,1909,Polyvalent
vac,98,38480,Polyvalent
mṛj,97,1072,Polyvalent
tap,96,3111,Polyvalent
dhāv,96,1549,Polyvalent
veśay,96,1136,Polyvalent
bhāṣ,95,2471,Polyvalent
khyā,94,4255,Polyvalent
sthāpay,93,1954,Polyvalent
sāday,91,3019,Polyvalent
sad,90,3020,Polyvalent
budh,89,2409,Polyvalent
mantray,88,2155,Polyvalent
ci,88,1768,Polyvalent
dhāray,87,2182,Polyvalent
vāray,87,1860,Polyvalent
yojay,86,1821,Polyvalent
śaṃs,85,3408,Polyvalent
mā,85,2734,Polyvalent
vāsay,85,671,Polyvalent
tṛ,84,1947,Polyvalent
stṛ,84,1586,Polyvalent
vyadh,83,2304,Polyvalent
pātay,81,1521,Polyvalent
bhuj,80,3076,Polyvalent
bhaj,80,2054,Polyvalent
mṛś,80,985,Polyvalent
dṛś,79,15392,Polyvalent
pā,79,5661,Polyvalent
bhāvay,79,2033,Polyvalent
sāray,79,708,Polyvalent
śru,78,11586,Polyvalent
tan,78,1677,Polyvalent
ṣṭhā,77,2822,Polyvalent
darśay,77,1850,Polyvalent
vraj,77,1749,Polyvalent
pīḍay,77,1381,Polyvalent
sic,77,1165,Polyvalent
hvā,76,2404,Polyvalent
as,75,36765,Polyvalent
ram,75,2367,Polyvalent
man,74,6008,Polyvalent
kṛt,74,650,Polyvalent
paś,73,5473,Polyvalent
vāhay,73,553,Polyvalent
bhṛ,72,2737,Polyvalent
bhid,72,2661,Polyvalent
cintay,72,2313,Polyvalent
kruś,72,540,Polyvalent
pūray,71,1132,Polyvalent
rabh,70,1847,Polyvalent
veday,70,1308,Polyvalent
vid,69,11773,Polyvalent
ropay,69,739,Polyvalent
cchid,69,596,Polyvalent
plu,68,1028,Polyvalent
cakṣ,67,1563,Polyvalent
vṛj,67,494,Polyvalent
pūjay,66,4071,Polyvalent
yaj,65,7015,Polyvalent
smṛ,65,4689,Polyvalent
jñāpay,64,650,Polyvalent
śvas,63,852,Polyvalent
dhyā,62,1380,Polyvalent
ūh,62,683,Polyvalent
cāray,62,614,Polyvalent
rakṣ,61,2376,Polyvalent
bodhay,61,427,Polyvalent
thā,60,2216,Polyvalent
lip,60,1333,Polyvalent
śās,60,1295,Polyvalent
nam,60,1293,Polyvalent
likh,60,867,Polyvalent
sru,60,768,Polyvalent
dhū,60,712,Polyvalent
bādh,60,646,Polyvalent
i,59,4271,Polyvalent
vṛdh,59,2321,Polyvalent
math,59,794,Polyvalent
lī,59,717,Polyvalent
pracch,57,3286,Polyvalent
mṛd,57,833,Polyvalent
śī,56,1336,Polyvalent
śṛ,56,541,Polyvalent
spṛś,55,2031,Polyvalent
sev,55,1587,Polyvalent
lokay,55,1061,Polyvalent
vāday,55,724,Polyvalent
brū,54,10603,Polyvalent
ṇī,54,799,Polyvalent
tāray,54,491,Polyvalent
ṣic,53,1189,Polyvalent
gāh,53,442,Polyvalent
ghrā,53,437,Polyvalent
lamb,52,494,Polyvalent
lup,52,241,Polyvalent
śam,51,1651,Polyvalent
veṣṭay,51,703,Polyvalent
sah,50,1353,Polyvalent
lakṣay,50,1016,Polyvalent
vā,50,487,Polyvalent
yu,50,393,Polyvalent
dham,49,1470,Bivalent
kṣi,49,1400,Bivalent
has,49,1075,Bivalent
pālay,49,878,Bivalent
śrāvay,49,750,Bivalent
vardhay,49,710,Bivalent
śaṅk,49,447,Bivalent
hāray,49,190,Bivalent
tyaj,48,3337,Bivalent
jīv,48,2504,Bivalent
varjay,48,2455,Bivalent
dhṛ,48,1506,Bivalent
sā,48,500,Bivalent
hu,47,6881,Bivalent
āp,47,3101,Bivalent
īkṣ,47,1333,Bivalent
śiṣ,47,1286,Bivalent
sañj,47,1254,Bivalent
gamay,47,525,Bivalent
dīpay,47,242,Bivalent
bhā,46,1450,Bivalent
yudh,46,1409,Bivalent
plāvay,46,209,Bivalent
stu,45,2575,Bivalent
pū,45,2430,Bivalent
aś,44,2164,Bivalent
coday,44,1049,Bivalent
dṛ,44,586,Bivalent
gṛ,43,552,Bivalent
varṇay,43,431,Bivalent
mad,42,1392,Bivalent
ṣad,42,992,Bivalent
yāc,42,847,Bivalent
khan,42,631,Bivalent
nud,42,452,Bivalent
vāpay,42,321,Bivalent
guh,41,680,Bivalent
nah,41,598,Bivalent
lap,41,427,Bivalent
kamp,41,422,Bivalent
śvāsay,41,415,Bivalent
tāpay,41,345,Bivalent
janay,40,1851,Bivalent
sādhay,40,1424,Bivalent
sū,40,1327,Bivalent
piṣ,40,1186,Bivalent
śuc,40,907,Bivalent
cchāday,40,514,Bivalent
pṛ,39,2105,Bivalent
kīrtay,39,1874,Bivalent
krī,39,668,Bivalent
rādhay,39,517,Bivalent
lobhay,39,112,Bivalent
hṛṣ,38,1950,Bivalent
kāray,38,1733,Bivalent
añj,38,1217,Bivalent
ric,38,901,Bivalent
kﾱp,38,714,Bivalent
nand,38,625,Bivalent
mānay,38,514,Bivalent
vṛh,38,139,Bivalent
nāmay,38,101,Bivalent
pac,37,2238,Bivalent
cyu,37,923,Bivalent
vṛṣ,37,807,Bivalent
mohay,37,643,Bivalent
krīḍ,37,565,Bivalent
dāpay,36,821,Bivalent
cal,36,722,Bivalent
śodhay,36,700,Bivalent
śoṣay,36,580,Bivalent
ghātay,36,290,Bivalent
pāṭay,36,264,Bivalent
cālay,36,215,Bivalent
srāvay,36,169,Bivalent
jap,35,1807,Bivalent
tarpay,35,1153,Bivalent
yat,35,1010,Bivalent
duh,35,845,Bivalent
dhāpay,35,212,Bivalent
sidh,34,2659,Bivalent
muh,34,1308,Bivalent
ṛdh,34,1072,Bivalent
kāṅkṣ,34,417,Bivalent
rādh,34,388,Bivalent
rocay,34,329,Bivalent
arcay,33,965,Bivalent
bhram,33,963,Bivalent
indh,33,821,Bivalent
jñapay,33,342,Bivalent
ruj,33,208,Bivalent
tṛd,33,146,Bivalent
jval,32,1079,Bivalent
rāj,32,855,Bivalent
rañj,32,705,Bivalent
śamay,32,512,Bivalent
