corpus,style,rank,root,valency,tokens,pct_of_corpus_tokens,in_canonical_polyvalent
Ṛgveda,śruti,1,as,10,1380,4.14,
Ṛgveda,śruti,2,kṛ,44,1227,3.68,yes
Ṛgveda,śruti,3,dhā,40,1037,3.11,yes
Ṛgveda,śruti,4,bhū,26,849,2.55,yes
Ṛgveda,śruti,5,pā,24,727,2.18,
Ṛgveda,śruti,6,gam,38,634,1.90,yes
Ṛgveda,śruti,7,pū,13,611,1.83,
Ṛgveda,śruti,8,i,16,607,1.82,
Ṛgveda,śruti,9,vid,24,602,1.81,
Ṛgveda,śruti,10,yā,30,590,1.77,
Ṛgveda,śruti,11,jan,24,553,1.66,
Ṛgveda,śruti,12,bhṛ,34,519,1.56,
Ṛgveda,śruti,13,su,11,505,1.52,
Ṛgveda,śruti,14,hvā,17,454,1.36,
Ṛgveda,śruti,15,han,36,396,1.19,
Ṛgveda,śruti,16,dā,32,385,1.16,yes
Ṛgveda,śruti,17,vah,26,379,1.14,
Ṛgveda,śruti,18,av,14,367,1.10,
Ṛgveda,śruti,19,vṛdh,16,364,1.09,
Ṛgveda,śruti,20,śru,21,363,1.09,
Ṛgveda,śruti,21,sthā,25,362,1.09,yes
Ṛgveda,śruti,22,vṛ,39,330,0.99,
Ṛgveda,śruti,23,yam,27,329,0.99,
Ṛgveda,śruti,24,sad,25,278,0.83,
Ṛgveda,śruti,25,yaj,18,277,0.83,
Ṛgveda,śruti,26,stu,19,264,0.79,
Ṛgveda,śruti,27,juṣ,11,261,0.78,
Ṛgveda,śruti,28,mad,17,240,0.72,
Ṛgveda,śruti,29,sṛj,24,226,0.68,
Ṛgveda,śruti,30,dāś,8,224,0.67,
Ṛgveda,śruti,31,gṛ,10,222,0.67,
Ṛgveda,śruti,32,yuj,20,221,0.66,
Ṛgveda,śruti,33,vac,20,211,0.63,
Ṛgveda,śruti,34,car,20,208,0.62,
Ṛgveda,śruti,35,aś,13,199,0.60,
Ṛgveda,śruti,36,gā,19,196,0.59,
Ṛgveda,śruti,37,tṛ,22,193,0.58,
Ṛgveda,śruti,38,indh,12,191,0.57,
Ṛgveda,śruti,39,cit,14,177,0.53,
Ṛgveda,śruti,40,hu,15,173,0.52,
Ṛgveda,śruti,41,ji,19,170,0.51,
Ṛgveda,śruti,42,vas,21,169,0.51,
Ṛgveda,śruti,43,vaś,6,165,0.50,
Ṛgveda,śruti,44,sac,12,164,0.49,
Ṛgveda,śruti,45,nī,21,162,0.49,yes
Ṛgveda,śruti,46,pṛ,13,158,0.47,
Ṛgveda,śruti,47,hi,11,152,0.46,
Ṛgveda,śruti,48,paś,18,150,0.45,
Ṛgveda,śruti,49,duh,13,146,0.44,
Ṛgveda,śruti,50,īḍ,8,143,0.43,
Atharvaveda (Śaunaka),śruti,1,as,14,934,6.42,
Atharvaveda (Śaunaka),śruti,2,kṛ,39,665,4.57,yes
Atharvaveda (Śaunaka),śruti,3,bhū,35,554,3.81,yes
Atharvaveda (Śaunaka),śruti,4,vid,21,482,3.31,
Atharvaveda (Śaunaka),śruti,5,dhā,61,467,3.21,yes
Atharvaveda (Śaunaka),śruti,6,han,27,268,1.84,
Atharvaveda (Śaunaka),śruti,7,gam,35,266,1.83,yes
Atharvaveda (Śaunaka),śruti,8,i,14,263,1.81,
Atharvaveda (Śaunaka),śruti,9,dā,35,258,1.77,yes
Atharvaveda (Śaunaka),śruti,10,jan,18,254,1.74,
Atharvaveda (Śaunaka),śruti,11,muc,18,222,1.52,
Atharvaveda (Śaunaka),śruti,12,bhṛ,23,188,1.29,
Atharvaveda (Śaunaka),śruti,13,dviṣ,7,174,1.20,
Atharvaveda (Śaunaka),śruti,14,sthā,21,171,1.17,yes
Atharvaveda (Śaunaka),śruti,15,hvā,13,132,0.91,
Atharvaveda (Śaunaka),śruti,16,sṛj,26,125,0.86,
Atharvaveda (Śaunaka),śruti,17,ji,20,125,0.86,
Atharvaveda (Śaunaka),śruti,18,pā,17,121,0.83,
Atharvaveda (Śaunaka),śruti,19,viś,22,115,0.79,
Atharvaveda (Śaunaka),śruti,20,car,16,114,0.78,
Atharvaveda (Śaunaka),śruti,21,hu,9,112,0.77,
Atharvaveda (Śaunaka),śruti,22,vah,25,110,0.76,
Atharvaveda (Śaunaka),śruti,23,duh,7,110,0.76,
Atharvaveda (Śaunaka),śruti,24,e,9,108,0.74,
Atharvaveda (Śaunaka),śruti,25,ruh,23,108,0.74,
Atharvaveda (Śaunaka),śruti,26,brū,11,105,0.72,
Atharvaveda (Śaunaka),śruti,27,vad,24,105,0.72,
Atharvaveda (Śaunaka),śruti,28,yam,25,102,0.70,
Atharvaveda (Śaunaka),śruti,29,yaj,9,102,0.70,
Atharvaveda (Śaunaka),śruti,30,paś,17,93,0.64,
Atharvaveda (Śaunaka),śruti,31,kram,22,92,0.63,
Atharvaveda (Śaunaka),śruti,32,hṛ,19,92,0.63,yes
Atharvaveda (Śaunaka),śruti,33,ah,1,88,0.60,
Atharvaveda (Śaunaka),śruti,34,grah,21,86,0.59,
Atharvaveda (Śaunaka),śruti,35,mā,22,85,0.58,
Atharvaveda (Śaunaka),śruti,36,nī,19,83,0.57,yes
Atharvaveda (Śaunaka),śruti,37,jīv,11,83,0.57,
Atharvaveda (Śaunaka),śruti,38,yā,15,83,0.57,
Atharvaveda (Śaunaka),śruti,39,ad,7,79,0.54,
Atharvaveda (Śaunaka),śruti,40,vṛ,19,77,0.53,
Atharvaveda (Śaunaka),śruti,41,bandh,16,75,0.52,
Atharvaveda (Śaunaka),śruti,42,hā,17,75,0.52,
Atharvaveda (Śaunaka),śruti,43,rakṣ,8,75,0.52,
Atharvaveda (Śaunaka),śruti,44,gā,19,73,0.50,
Atharvaveda (Śaunaka),śruti,45,pṛ,9,70,0.48,
Atharvaveda (Śaunaka),śruti,46,vas,14,67,0.46,
Atharvaveda (Śaunaka),śruti,47,vac,13,65,0.45,
Atharvaveda (Śaunaka),śruti,48,yuj,12,65,0.45,
Atharvaveda (Śaunaka),śruti,49,tan,20,64,0.44,
Atharvaveda (Śaunaka),śruti,50,pat,23,64,0.44,
Mahābhārata,smriti,1,vac,38,12152,5.60,
Mahābhārata,smriti,2,kṛ,255,10461,4.82,yes
Mahābhārata,smriti,3,gam,175,8377,3.86,yes
Mahābhārata,smriti,4,bhū,105,7831,3.61,yes
Mahābhārata,smriti,5,as,31,6338,2.92,
Mahābhārata,smriti,6,han,113,5541,2.55,
Mahābhārata,smriti,7,dṛś,49,5488,2.53,
Mahābhārata,smriti,8,sthā,106,3970,1.83,yes
Mahābhārata,smriti,9,śru,38,3940,1.82,
Mahābhārata,smriti,10,brū,25,3706,1.71,
Mahābhārata,smriti,11,dā,90,3469,1.60,yes
Mahābhārata,smriti,12,yā,135,3002,1.38,
Mahābhārata,smriti,13,vṛt,142,2853,1.31,
Mahābhārata,smriti,14,jñā,109,2550,1.17,yes
Mahābhārata,smriti,15,vid,34,2387,1.10,
Mahābhārata,smriti,16,yuj,101,2182,1.01,
Mahābhārata,smriti,17,pat,83,2154,0.99,
Mahābhārata,smriti,18,prāp,12,2079,0.96,
Mahābhārata,smriti,19,man,45,2050,0.94,
Mahābhārata,smriti,20,ji,46,1952,0.90,
Mahābhārata,smriti,21,grah,86,1815,0.84,
Mahābhārata,smriti,22,hṛ,155,1798,0.83,yes
Mahābhārata,smriti,23,pad,93,1766,0.81,
Mahābhārata,smriti,24,paś,40,1743,0.80,
Mahābhārata,smriti,25,viś,82,1737,0.80,
Mahābhārata,smriti,26,jan,47,1729,0.80,
Mahābhārata,smriti,27,iṣ,11,1696,0.78,
Mahābhārata,smriti,28,car,89,1686,0.78,
