racana,name,n_total,n_attested,coverage_pct,mean_valency_attested,median_valency_attested,max_valency,polyvalent_count,bivalent_count,monovalent_count,total_corpus_tokens,top_5_attested
CV1,krādi (क्रादि),36,24,66.7,98,41,1062,8,14,14,92149,kṛ (1062); hṛ (368); vṛ (121); sṛ (112); ji (100)
CV2,dhādi (धादि),59,32,54.2,66.2,23,504,12,14,33,113092,bhū (504); dhā (386); yā (205); dā (176); gā (124)
V2CC,,3,1,33.3,47,47,47,0,1,2,1333,īkṣ (47)
CCV1,,26,18,69.2,40.8,28,108,7,9,10,28130,śri (108); dru (105); stṛ (84); śru (78); plu (68)
CV1C,gamādi (गमादि),493,201,40.8,32.8,13,293,42,112,339,260142,vṛt (293); han (216); pad (207); sṛj (182); yuj (172)
CV2C,vācādi (वाचादि),86,14,16.3,30.1,18,96,3,8,75,8862,dhāv (96); bhāṣ (95); śās (60); jīv (48); rādh (34)
V1,,3,2,66.7,30,30,59,1,0,2,4272,i (59); u (1)
CCV2,sthādi (स्थादि),43,24,55.8,28.1,10,176,5,15,23,33731,jñā (176); khyā (94); ṣṭhā (77); brū (54); ghrā (53)
CCV1C,smarādi (स्मरादि),151,62,41.1,25.4,9,244,8,34,109,42211,kram (244); grah (182); kṣip (154); vyadh (83); vraj (77)
V2C,,15,9,60.0,17.4,13,62,1,7,7,4016,ūh (62); ās (28); edh (13); īh (13); īr (13)
CV2CV1,bādhrādi (बाध्रादि),101,1,1.0,17,17,17,0,1,100,346,jāgṛ (17)
V1C,iṣādi (इषादि),41,17,41.5,16.5,11,75,1,12,28,56422,as (75); aś (44); ṛdh (34); ad (17); av (16)
CCV1CC,,35,9,25.7,15,16,30,0,6,29,1773,bhraṃś (30); dhvaṃs (28); stambh (25); sraṃs (22); granth (16)
CV1CC,kalpādi (कल्पादि),175,51,29.1,13.9,6,104,4,26,145,14778,bandh (104); śaṃs (85); cakṣ (67); rakṣ (61); rañj (32)
CV2CC,,21,8,38.1,13.1,15,25,0,5,16,1497,ceṣṭ (25); veṣṭ (24); dīkṣ (18); mārg (18); ghūrṇ (12)
V1CC,,22,7,31.8,11.4,8,29,0,5,17,3481,arc (29); ukṣ (21); arh (11); añc (8); ubj (8)
CV2CCC,,2,1,50.0,5,5,5,0,1,1,13,sūrkṣ (5)
CV1CCC,,4,1,25.0,5,5,5,0,1,3,11,bharts (5)
V2CCC,,1,1,100.0,3,3,3,0,0,1,5,īrṣy (3)
CV1CV2C,,6,1,16.7,3,3,3,0,0,6,5,gaveṣ (3)
CCCV1,,1,1,100.0,3,3,3,0,0,1,10,kṣṇu (3)
V2,,2,1,50.0,3,3,3,0,0,2,193,ī (3)
CCCV2,,2,2,100.0,2.5,2,3,0,0,2,24,styai (3); ṣṭyai (2)
CCV2C,,19,2,10.5,1.5,1,2,0,0,19,85,vrīḍ (2); svād (1)
CCV2CV2,,3,0,0.0,0,0,0,0,0,3,0,
CV1CV2,cityādi (चित्यादि),49,0,0.0,0,0,0,0,0,49,0,
CV1CV1,,28,0,0.0,0,0,0,0,0,28,0,
CCV1CV1C,,6,0,0.0,0,0,0,0,0,6,0,
CCCV1CV1C,,1,0,0.0,0,0,0,0,0,1,0,
CCV2CV1,,38,0,0.0,0,0,0,0,0,38,0,
V2CV1,,5,0,0.0,0,0,0,0,0,5,0,
CV1CCV2,,14,0,0.0,0,0,0,0,0,14,0,
CCV1CCV2,,3,0,0.0,0,0,0,0,0,3,0,
V1CV2,,3,0,0.0,0,0,0,0,0,3,0,
CCV2CCV2CCV2,,1,0,0.0,0,0,0,0,0,1,0,
CCV1CV1,,1,0,0.0,0,0,0,0,0,1,0,
CCV1CV2,,13,0,0.0,0,0,0,0,0,13,0,
V2CV2,,3,0,0.0,0,0,0,0,0,3,0,
CV2CV2,,14,0,0.0,0,0,0,0,0,14,0,
CCCV2CV2,,1,0,0.0,0,0,0,0,0,1,0,
V2CCV2CV2,,1,0,0.0,0,0,0,0,0,1,0,
CV2CCCC,,1,0,0.0,0,0,0,0,0,1,0,
V2CCCC,,1,0,0.0,0,0,0,0,0,1,0,
CCCV2C,,1,0,0.0,0,0,0,0,0,1,0,
CCCV2CV1,,1,0,0.0,0,0,0,0,0,1,0,
V1CCV2,,5,0,0.0,0,0,0,0,0,5,0,
V2CV1C,,2,0,0.0,0,0,0,0,0,2,0,
CV1CV1C,,15,0,0.0,0,0,0,0,0,15,0,
CCCV1CC,,1,0,0.0,0,0,0,0,0,1,0,
CCV2CC,,4,0,0.0,0,0,0,0,0,4,0,
V1CV1C,,1,0,0.0,0,0,0,0,0,1,0,
CCCV1CV2,,1,0,0.0,0,0,0,0,0,1,0,
CV1CCV1CV2,,1,0,0.0,0,0,0,0,0,1,0,
V1CV1CCV1C,,1,0,0.0,0,0,0,0,0,1,0,
CCV1CCV1C,,1,0,0.0,0,0,0,0,0,1,0,
CV1CV1CCV2,,1,0,0.0,0,0,0,0,0,1,0,
CV1CV2CV1,,1,0,0.0,0,0,0,0,0,1,0,
V2CV2C,,1,0,0.0,0,0,0,0,0,1,0,
