racana_scaffold,racana_name,inventory_count,inventory_share_pct,text_visible_dhatu_count,text_visible_dhatu_share_pct,total_path_c_valency,valency_share_pct,mean_valency,median_valency,total_tokens,token_share_pct,top_text_visible_dhatavah
CV1C,gamādi (गमादि),926,42.71,225,39.13,7926,42.63,35.2,17,320436,41.91,vṛt (293); gam (291); han (216); pad (207); sṛj (182)
CCV1C,spadādi (स्पदादि),232,10.7,71,12.35,1630,8.77,23.0,9,43443,5.68,kram (244); grah (182); kṣip (154); vyadh (83); vraj (77)
CV1CC,manthādi (मन्थादि),216,9.96,52,9.04,736,3.96,14.2,6.0,15653,2.05,bandh (104); śaṃs (85); cakṣ (67); rakṣ (61); rañj (32)
CV2C,vācādi (वाचादि),214,9.87,41,7.13,797,4.29,19.4,8,14905,1.95,dhāv (96); bhāṣ (95); bādh (60); śās (60); gāh (53)
CV2,dhādi (धादि),89,4.11,33,5.74,2418,13.0,73.3,24,121925,15.95,bhū (504); dhā (386); nī (253); yā (205); dā (176)
V1C,iṣādi (इषादि),70,3.23,18,3.13,291,1.57,16.2,10.5,56578,7.4,as (75); aś (44); ṛdh (34); ad (17); av (16)
CCV2C,hrādādi (ह्रादादि),65,3.0,11,1.91,83,0.45,7.5,2,1455,0.19,krīḍ (37); bhrāj (18); preṣ (9); ślāgh (6); hlād (3)
CV1,krādi (क्रादि),64,2.95,24,4.17,2352,12.65,98,41.0,92149,12.05,kṛ (1062); hṛ (368); vṛ (121); sṛ (112); ji (100)
CCV2,sthādi (स्थादि),49,2.26,24,4.17,764,4.11,31.8,10.5,46898,6.13,jñā (176); sthā (166); khyā (94); brū (54); ghrā (53)
CCV1CC,spardhādi (स्पर्धादि),48,2.21,13,2.26,206,1.11,15.8,16,2418,0.32,bhraṃś (30); dhvaṃs (28); skand (28); vraśc (28); stambh (25)
CCV1,,35,1.61,18,3.13,735,3.95,40.8,28.0,28130,3.68,śri (108); dru (105); stṛ (84); śru (78); plu (68)
V1CC,,35,1.61,11,1.91,173,0.93,15.7,11,5627,0.74,añj (38); indh (33); arc (29); ukṣ (21); und (17)
V2C,,28,1.29,12,2.09,213,1.15,17.8,11.5,7211,0.94,ūh (62); āp (47); ās (28); edh (13); īh (13)
CV2CC,,23,1.06,8,1.39,105,0.56,13.1,15.0,1497,0.2,ceṣṭ (25); veṣṭ (24); dīkṣ (18); mārg (18); ghūrṇ (12)
CV1CV2C,,7,0.32,2,0.35,7,0.04,3.5,3.5,25,0.0,cakās (4); gaveṣ (3)
CV2CV2,,5,0.23,0,0.0,0,0.0,0,0,0,0.0,
V1,,5,0.23,2,0.35,60,0.32,30,30.0,4272,0.56,i (59); u (1)
V2CV1C,,5,0.23,0,0.0,0,0.0,0,0,0,0.0,
CCCV1C,,4,0.18,0,0.0,0,0.0,0,0,0,0.0,
CV1CCC,,4,0.18,1,0.17,5,0.03,5,5,11,0.0,bharts (5)
CCCV2C,,3,0.14,0,0.0,0,0.0,0,0,0,0.0,
CCV2CC,,3,0.14,0,0.0,0,0.0,0,0,0,0.0,
CV1CCV2,,3,0.14,0,0.0,0,0.0,0,0,0,0.0,
CV1CV2,cityādi (चित्यादि),3,0.14,0,0.0,0,0.0,0,0,0,0.0,
CV2CV1,bādhrādi (बाध्रादि),3,0.14,1,0.17,17,0.09,17,17,346,0.05,jāgṛ (17)
V2CC,,3,0.14,1,0.17,47,0.25,47,47,1333,0.17,īkṣ (47)
C,,2,0.09,1,0.17,10,0.05,10,10,19,0.0,j (10)
CCCV2,,2,0.09,2,0.35,5,0.03,2.5,2.5,24,0.0,styai (3); ṣṭyai (2)
CV1CCV2C,,2,0.09,0,0.0,0,0.0,0,0,0,0.0,
CV2CCC,,2,0.09,1,0.17,5,0.03,5,5,13,0.0,sūrkṣ (5)
V2,,2,0.09,1,0.17,3,0.02,3,3,193,0.03,ī (3)
CCCCV1,,1,0.05,0,0.0,0,0.0,0,0,0,0.0,
CCCCV2CC,,1,0.05,0,0.0,0,0.0,0,0,0,0.0,
CCCV1,,1,0.05,1,0.17,3,0.02,3,3,10,0.0,kṣṇu (3)
CCCV1CC,,1,0.05,0,0.0,0,0.0,0,0,0,0.0,
CCV1CV1C,,1,0.05,0,0.0,0,0.0,0,0,0,0.0,
CV1CCCV2C,,1,0.05,0,0.0,0,0.0,0,0,0,0.0,
CV1CCV1CV2,,1,0.05,0,0.0,0,0.0,0,0,0,0.0,
CV1CV1C,,1,0.05,0,0.0,0,0.0,0,0,0,0.0,
CV1CV1CCV2,,1,0.05,0,0.0,0,0.0,0,0,0,0.0,
CV1CV2CC,,1,0.05,0,0.0,0,0.0,0,0,0,0.0,
CV2CCCC,,1,0.05,0,0.0,0,0.0,0,0,0,0.0,
CV2CV1C,,1,0.05,0,0.0,0,0.0,0,0,0,0.0,
V1CCV1C,,1,0.05,0,0.0,0,0.0,0,0,0,0.0,
V1CV2CV1C,,1,0.05,0,0.0,0,0.0,0,0,0,0.0,
V2CCC,,1,0.05,1,0.17,3,0.02,3,3,5,0.0,īrṣy (3)
V2CCCC,,1,0.05,0,0.0,0,0.0,0,0,0,0.0,
