local_code,local_citation,status,candidate_codes,selected_code,selected_meaning_slp1,shared_selected_code,same_code_source_citation,same_code_source_gloss,candidate_assignment_count,candidate_meaning_status,accepted_lexical_transfer
01.0001,BU,same_code_and_citation,01.0001,01.0001,sattAyAm,False,BU,sattAyAm,1,single_gloss,False
01.0002,eDa~\,same_code_and_citation,01.0002,01.0002,vfdDO,False,eDa~\,vfdDO,1,single_gloss,False
01.0003,sparDa~\,same_code_and_citation,01.0003,01.0003,saNGarze,False,sparDa~\,saNGarze,1,single_gloss,False
01.0004,gADf~\,same_code_and_citation,01.0004,01.0004,pratizWAlipsayorgranTe ca,False,gADf~\,pratizWAlipsayorgranTe ca,3,enumerated_glosses,False
01.0005,bADf~\,same_code_and_citation,01.0005,01.0005,"loqane, rowane",False,bADf~\,"loqane, rowane",2,enumerated_glosses,False
01.0006,nADf~\,same_code_and_citation,01.0006,01.0006,yAcYopatApESvaryASIzzu,False,nADf~\,yAcYopatApESvaryASIzzu,4,enumerated_glosses,False
01.0007,nATf~\,same_code_and_citation,01.0007,01.0007,yAcYopatApESvaryASIzzu,False,nATf~\,yAcYopatApESvaryASIzzu,4,enumerated_glosses,False
01.0008,daDa~\,same_code_and_citation,01.0008,01.0008,DAraRe,False,daDa~\,DAraRe,1,single_gloss,False
01.0009,skudi~\,same_code_and_citation,01.0009,01.0009,ApravaRe,False,skudi~\,ApravaRe,1,single_gloss,False
01.0010,Svidi~\,same_code_and_citation,01.0010,01.0010,SvEtye,False,Svidi~\,SvEtye,1,single_gloss,False
01.0011,vadi~\,same_code_and_citation,01.0011,01.0011,aBivAdanastutyoH,False,vadi~\,aBivAdanastutyoH,2,enumerated_glosses,False
01.0012,Badi~\,same_code_and_citation,01.0012,01.0012,kalyARe suKe ca,False,Badi~\,kalyARe suKe ca,2,enumerated_glosses,False
01.0013,madi~\,same_code_and_citation,01.0013,01.0013,stutimodamadasvapnakAntigatizu,False,madi~\,stutimodamadasvapnakAntigatizu,6,enumerated_glosses,False
01.0014,spadi~\,same_code_and_citation,01.0014,01.0014,kiYciccalane,False,spadi~\,kiYciccalane,1,single_gloss,False
01.0015,klidi~\,same_code_and_citation,01.0015,01.0015,paridevane,False,klidi~\,paridevane,1,single_gloss,False
01.0016,muda~\,same_code_and_citation,01.0016,01.0016,harze,False,muda~\,harze,1,single_gloss,False
