code,dhatu,artha,source_line
01.0933,-,,934
01.0934,-,,935
01.0935,-,,936
01.0936,-,,937
01.0937,-,,938
01.0938,-,,939
01.0939,-,,940
01.0940,-,,941
01.0941,-,,942
01.0944,-,,945
02.0076,-,,1243
04.0162,-,,1432
04.0163,-,,1433
10.0493,-,,2244
10.0494,-,,2245
10.0495,-,,2246
10.0496,-,,2247
10.0497,-,,2248
10.0498,-,,2249
10.0499,-,,2250
10.0500,-,,2251
10.0501,-,,2252
10.0502,-,,2253
10.0503,-,,2254
10.0504,-,,2255
10.0505,-,,2256
10.0506,-,,2257
10.0507,-,,2258
10.0508,-,,2259
10.0509,-,,2260
