compound_word_meaning_id,compound_type,input_forms_slp1,input_semantic_relation,input_class,eligible_for_nominal_operations
a7bcb00a7838b8bc,avyaya_tatpurusha,abrAhmaRa,brAhmaRa qualified by the indeclinable naY,derived_nominal_base,true
634ef3bdfa09a259,avyaya_tatpurusha,avfzala,vfzala qualified by the indeclinable naY,derived_nominal_base,true
d51c7482aa4efb47,avyayibhava,AkumAram,indeclinable relation of A to kumAra,complete_indeclinable,false
dcaf84d16f3ba6b5,avyayibhava,ApAwaliputram,indeclinable relation of A to pAwaliputra,complete_indeclinable,false
657dfce6864d572b,avyayibhava,SAkaprati,indeclinable relation of SAka to prati,complete_indeclinable,false
8e9cf1199096f467,avyayibhava,SalAkApari,indeclinable relation of SalAkA to pari,complete_indeclinable,false
4be75dcbae1f3197,avyayibhava,aByagni,indeclinable relation of aBi to agni,complete_indeclinable,false
b7caad4a02f600bf,avyayibhava,akzapari,indeclinable relation of akza to pari,complete_indeclinable,false
20f0fa4b456db950,avyayibhava,anuvanam,indeclinable relation of anu to vana,complete_indeclinable,false
2355404be555a285,avyayibhava,catuzpari,indeclinable relation of catus to pari,complete_indeclinable,false
86445b349e32ffec,avyayibhava,dvimuni,indeclinable relation of dvi to muni,complete_indeclinable,false
5e2bf300c2419b35,avyayibhava,dvipari,indeclinable relation of dvi to pari,complete_indeclinable,false
686b5cac6957de61,avyayibhava,ekapari,indeclinable relation of eka to pari,complete_indeclinable,false
5f2bc721dc3cf8ec,avyayibhava,pratyagni,indeclinable relation of prati to agni,complete_indeclinable,false
c038be6b4166193c,avyayibhava,trimuni,indeclinable relation of tri to muni,complete_indeclinable,false
2b95e5782b6fbd59,avyayibhava,tripari,indeclinable relation of tri to pari,complete_indeclinable,false
3115b2b39324cafd,avyayibhava,yAvadamatram,indeclinable relation of yAvat to amatra,complete_indeclinable,false
aa462d4043085255,avyayibhava,yaTADyApakam,indeclinable relation of yaTA to aDyApaka,complete_indeclinable,false
400c276336051809,avyayibhava,yaTAvfdDam,indeclinable relation of yaTA to vfdDa,complete_indeclinable,false
1e5790590e79c410,caturthi_tatpurusha,aSvahita,hita for aSva,derived_nominal_base,true
