catalog_id,family,engine_id,source_variant,visible_suffix,input_domain,output_domain,curated_operation_ids,semantic_status,eligibility_status,count_status,source_description,source_file,source_url,source_sha256
sanadi:kAmyac,sanadi,kAmyac,kAmyac,,nominal_base,derived_verbal_base,denominative_kamyac,seeded,example_scope_only,not_admitted,"`kAmyac`, which creates nAma-dhAtus per 3.1.9. Examples: `putrakAmyati`",vidyut-args-dhatu.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/dhatu.rs,f63ee74be4e5eef8581def3f9b029fe2b1e01f7e92ca7a322c506d3e33764c63
sanadi:kyaN,sanadi,kyaN,kyaN,,nominal_base,derived_verbal_base,denominative_kyang,seeded,example_scope_only,not_admitted,"`kyaN`, which creates nAma-dhAtus per 3.1.11. Examples: `SyenAyate`, `BfSAyate`",vidyut-args-dhatu.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/dhatu.rs,f63ee74be4e5eef8581def3f9b029fe2b1e01f7e92ca7a322c506d3e33764c63
sanadi:kyac,sanadi,kyac,kyac,,nominal_base,derived_verbal_base,denominative_kyac,seeded,example_scope_only,not_admitted,"`kyac`, which creates nAma-dhAtus per 3.1.8. Examples: `putrIyati`",vidyut-args-dhatu.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/dhatu.rs,f63ee74be4e5eef8581def3f9b029fe2b1e01f7e92ca7a322c506d3e33764c63
sanadi:Ric,sanadi,Ric,Ric,,verbal_base,derived_verbal_base,causative,seeded,example_scope_only,not_admitted,"`Nic`, which creates causal roots per 3.1.26. Examples: `BAvayati`, `nAyayati`.",vidyut-args-dhatu.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/dhatu.rs,f63ee74be4e5eef8581def3f9b029fe2b1e01f7e92ca7a322c506d3e33764c63
sanadi:yaN,sanadi,yaN,yaN,,verbal_base,derived_verbal_base,intensive,seeded,example_scope_only,not_admitted,"`yaN`, which creates intensive roots per 3.1.22. For certain dhatus, the semantics are instead ""crooked movement"" (by 3.1.23) or ""contemptible"" action (by 3.1.24). Examples: boBUyate, nenIyate. Constraints: can be used only if the dhatu starts with a consonant and has exactly one vowel. If this constraint is violated, our APIs will return an `Error`.",vidyut-args-dhatu.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/dhatu.rs,f63ee74be4e5eef8581def3f9b029fe2b1e01f7e92ca7a322c506d3e33764c63
sanadi:yaNluk,sanadi,yaNluk,yaNluk,,verbal_base,derived_verbal_base,intensive_luk,seeded,example_scope_only,not_admitted,"`yaN`, with lopa per 2.4.74. This is often listed separately due to its rarity and its very different form. Examples: boBavIti, boBoti, nenayIti, neneti.",vidyut-args-dhatu.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/dhatu.rs,f63ee74be4e5eef8581def3f9b029fe2b1e01f7e92ca7a322c506d3e33764c63
sanadi:san,sanadi,san,san,,verbal_base,derived_verbal_base,desiderative,seeded,example_scope_only,not_admitted,"`san`, which creates desiderative roots per 3.1.7. Examples: buBUzati, ninIzati.",vidyut-args-dhatu.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/dhatu.rs,f63ee74be4e5eef8581def3f9b029fe2b1e01f7e92ca7a322c506d3e33764c63
krt:a,krt,a,a,a,verbal_base,derived_word_or_base,,pending,pending,not_admitted,-a,vidyut-args-krt.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/krt.rs,07e2a29545918b1528fa13eaf66b3fe5c9585184f945df5c479a25525de33f6f
krt:aN,krt,aN,aN,a,verbal_base,derived_word_or_base,,pending,pending,not_admitted,"-a,",vidyut-args-krt.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/krt.rs,07e2a29545918b1528fa13eaf66b3fe5c9585184f945df5c479a25525de33f6f
krt:ac,krt,ac,ac,a,verbal_base,derived_word_or_base,,pending,pending,not_admitted,-a,vidyut-args-krt.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/krt.rs,07e2a29545918b1528fa13eaf66b3fe5c9585184f945df5c479a25525de33f6f
krt:aR,krt,aR,aR,a,verbal_base,derived_word_or_base,,pending,pending,not_admitted,-a,vidyut-args-krt.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/krt.rs,07e2a29545918b1528fa13eaf66b3fe5c9585184f945df5c479a25525de33f6f
krt:aDyE,krt,aDyE,aDyE,aDyE,verbal_base,derived_word_or_base,,pending,pending,not_admitted,-aDyE,vidyut-args-krt.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/krt.rs,07e2a29545918b1528fa13eaf66b3fe5c9585184f945df5c479a25525de33f6f
krt:aDyEn,krt,aDyEn,aDyEn,aDyE,verbal_base,derived_word_or_base,,pending,pending,not_admitted,-aDyE,vidyut-args-krt.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/krt.rs,07e2a29545918b1528fa13eaf66b3fe5c9585184f945df5c479a25525de33f6f
krt:atf~n,krt,atf~n,atfn,at,verbal_base,derived_word_or_base,,pending,pending,not_admitted,-at (jarat),vidyut-args-krt.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/krt.rs,07e2a29545918b1528fa13eaf66b3fe5c9585184f945df5c479a25525de33f6f
krt:aTuc,krt,aTuc,aTuc,aTu,verbal_base,derived_word_or_base,,pending,pending,not_admitted,-aTu (vepaTu). Allowed only for dhatus that are `qvit`.,vidyut-args-krt.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/krt.rs,07e2a29545918b1528fa13eaf66b3fe5c9585184f945df5c479a25525de33f6f
krt:ani,krt,ani,ani,ani,verbal_base,derived_word_or_base,,pending,pending,not_admitted,-ani,vidyut-args-krt.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/krt.rs,07e2a29545918b1528fa13eaf66b3fe5c9585184f945df5c479a25525de33f6f
krt:anIyar,krt,anIyar,anIyar,anIya,verbal_base,derived_word_or_base,obligation_aniyar,seeded,example_scope_only,not_admitted,"-anIya (gamanIya, BavanIya, ...)",vidyut-args-krt.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/krt.rs,07e2a29545918b1528fa13eaf66b3fe5c9585184f945df5c479a25525de33f6f
krt:ap,krt,ap,ap,a,verbal_base,derived_word_or_base,,pending,pending,not_admitted,-a,vidyut-args-krt.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/krt.rs,07e2a29545918b1528fa13eaf66b3fe5c9585184f945df5c479a25525de33f6f
krt:ase,krt,ase,ase,ase,verbal_base,derived_word_or_base,,pending,pending,not_admitted,-ase,vidyut-args-krt.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/krt.rs,07e2a29545918b1528fa13eaf66b3fe5c9585184f945df5c479a25525de33f6f
krt:asen,krt,asen,asen,ase,verbal_base,derived_word_or_base,,pending,pending,not_admitted,-ase,vidyut-args-krt.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/krt.rs,07e2a29545918b1528fa13eaf66b3fe5c9585184f945df5c479a25525de33f6f
krt:Aluc,krt,Aluc,Aluc,Alu,verbal_base,derived_word_or_base,,pending,pending,not_admitted,-Alu,vidyut-args-krt.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/krt.rs,07e2a29545918b1528fa13eaf66b3fe5c9585184f945df5c479a25525de33f6f
krt:Aru,krt,Aru,Aru,Aru,verbal_base,derived_word_or_base,,pending,pending,not_admitted,-Aru,vidyut-args-krt.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/krt.rs,07e2a29545918b1528fa13eaf66b3fe5c9585184f945df5c479a25525de33f6f
krt:ika,krt,ika,ika,ika,verbal_base,derived_word_or_base,,pending,pending,not_admitted,-ika,vidyut-args-krt.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/krt.rs,07e2a29545918b1528fa13eaf66b3fe5c9585184f945df5c479a25525de33f6f
krt:ikavaka,krt,ikavaka,ikavaka,ikavaka,verbal_base,derived_word_or_base,,pending,pending,not_admitted,-ikavaka,vidyut-args-krt.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/krt.rs,07e2a29545918b1528fa13eaf66b3fe5c9585184f945df5c479a25525de33f6f
krt:iY,krt,iY,iY,i,verbal_base,derived_word_or_base,,pending,pending,not_admitted,-i,vidyut-args-krt.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/krt.rs,07e2a29545918b1528fa13eaf66b3fe5c9585184f945df5c479a25525de33f6f
krt:itra,krt,itra,itra,itra,verbal_base,derived_word_or_base,,pending,pending,not_admitted,-itra,vidyut-args-krt.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/krt.rs,07e2a29545918b1528fa13eaf66b3fe5c9585184f945df5c479a25525de33f6f
krt:in,krt,in,in_,in,verbal_base,derived_word_or_base,,pending,pending,not_admitted,-in. The trailing `_` is to avoid colliding with Rust's `in` keyword.,vidyut-args-krt.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/krt.rs,07e2a29545918b1528fa13eaf66b3fe5c9585184f945df5c479a25525de33f6f
krt:ini~,krt,ini~,ini,in,verbal_base,derived_word_or_base,,pending,pending,not_admitted,-in,vidyut-args-krt.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/krt.rs,07e2a29545918b1528fa13eaf66b3fe5c9585184f945df5c479a25525de33f6f
krt:izRuc,krt,izRuc,izRuc,izRu,verbal_base,derived_word_or_base,,pending,pending,not_admitted,"-izRu (alaMkarizRu, prajanizRu, ...)",vidyut-args-krt.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/krt.rs,07e2a29545918b1528fa13eaf66b3fe5c9585184f945df5c479a25525de33f6f
krt:u,krt,u,u,u,verbal_base,derived_word_or_base,,pending,pending,not_admitted,"-u (yuyutsu, Bikzu, ...)",vidyut-args-krt.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/krt.rs,07e2a29545918b1528fa13eaf66b3fe5c9585184f945df5c479a25525de33f6f
krt:ukaY,krt,ukaY,ukaY,uka,verbal_base,derived_word_or_base,,pending,pending,not_admitted,-uka,vidyut-args-krt.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/krt.rs,07e2a29545918b1528fa13eaf66b3fe5c9585184f945df5c479a25525de33f6f
krt:Uka,krt,Uka,Uka,Uka,verbal_base,derived_word_or_base,,pending,pending,not_admitted,-Uka,vidyut-args-krt.rs,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/src/args/krt.rs,07e2a29545918b1528fa13eaf66b3fe5c9585184f945df5c479a25525de33f6f
