local_code,local_citation,status,candidate_codes,selected_code,selected_meaning_slp1,shared_selected_code
01.0001,BU,same_code_and_citation,01.0001,01.0001,sattAyAm,False
01.0002,eDa~\,same_code_and_citation,01.0002,01.0002,vfdDO,False
01.0003,sparDa~\,same_code_and_citation,01.0003,01.0003,saNGarze,False
01.0004,gADf~\,same_code_and_citation,01.0004,01.0004,pratizWAlipsayorgranTe ca,False
01.0005,bADf~\,same_code_and_citation,01.0005,01.0005,"loqane, rowane",False
01.0006,nADf~\,same_code_and_citation,01.0006,01.0006,yAcYopatApESvaryASIzzu,False
01.0007,nATf~\,same_code_and_citation,01.0007,01.0007,yAcYopatApESvaryASIzzu,False
01.0008,daDa~\,same_code_and_citation,01.0008,01.0008,DAraRe,False
01.0009,skudi~\,same_code_and_citation,01.0009,01.0009,ApravaRe,False
01.0010,Svidi~\,same_code_and_citation,01.0010,01.0010,SvEtye,False
01.0011,vadi~\,same_code_and_citation,01.0011,01.0011,aBivAdanastutyoH,False
01.0012,Badi~\,same_code_and_citation,01.0012,01.0012,kalyARe suKe ca,False
01.0013,madi~\,same_code_and_citation,01.0013,01.0013,stutimodamadasvapnakAntigatizu,False
01.0014,spadi~\,same_code_and_citation,01.0014,01.0014,kiYciccalane,False
01.0015,klidi~\,same_code_and_citation,01.0015,01.0015,paridevane,False
01.0016,muda~\,same_code_and_citation,01.0016,01.0016,harze,False
01.0017,dada~\,same_code_and_citation,01.0017,01.0017,dAne,False
01.0018,zvada~\,same_code_and_citation,01.0018,01.0018,AsvAdane,False
01.0019,svarda~\,same_code_and_citation,01.0019,01.0019,AsvAdane,False
01.0020,urda~\,same_code_and_citation,01.0020,01.0020,mAne krIqAyAM AsvAdane ca,False
01.0021,kurda\,no_exact_same_gana_citation,,,,False
01.0022,Kurda\,no_exact_same_gana_citation,,,,False
01.0023,gurda\,no_exact_same_gana_citation,,,,False
01.0024,guda~\,same_code_and_citation,01.0024,01.0024,krIqAyAm eva,False
01.0025,zUda~\,same_code_and_citation,01.0025,01.0025,kzaraRe,False
01.0026,hrAda~\,same_code_and_citation,01.0026,01.0026,avyakte Sabde,False
01.0027,hlAdI~\,same_code_and_citation,01.0027,01.0027,avyakte Sabde suKe ca,False
01.0028,svAda~\,same_code_and_citation,01.0028,01.0028,AsvAdane,False
