form_slp1,semantic_cell_count,semantic_cells
ajYAnAByAm,3,ajnana:caturthi:dvi;ajnana:panchami:dvi;ajnana:trtiya:dvi
ajYAnAni,3,ajnana:dvitiya:bahu;ajnana:prathama:bahu;ajnana:sambodhana:bahu
ajYAnam,2,ajnana:dvitiya:eka;ajnana:prathama:eka
ajYAnayoH,2,ajnana:saptami:dvi;ajnana:sasthi:dvi
ajYAne,4,ajnana:dvitiya:dvi;ajnana:prathama:dvi;ajnana:sambodhana:dvi;ajnana:saptami:eka
ajYAneByaH,2,ajnana:caturthi:bahu;ajnana:panchami:bahu
gamanAByAm,3,gamana:caturthi:dvi;gamana:panchami:dvi;gamana:trtiya:dvi
gamanAni,3,gamana:dvitiya:bahu;gamana:prathama:bahu;gamana:sambodhana:bahu
gamanam,2,gamana:dvitiya:eka;gamana:prathama:eka
gamanayoH,2,gamana:saptami:dvi;gamana:sasthi:dvi
gamane,4,gamana:dvitiya:dvi;gamana:prathama:dvi;gamana:sambodhana:dvi;gamana:saptami:eka
gamaneByaH,2,gamana:caturthi:bahu;gamana:panchami:bahu
kOnteyAByAm,3,kaunteya:caturthi:dvi;kaunteya:panchami:dvi;kaunteya:trtiya:dvi
kOnteyAH,2,kaunteya:prathama:bahu;kaunteya:sambodhana:bahu
kOnteyO,3,kaunteya:dvitiya:dvi;kaunteya:prathama:dvi;kaunteya:sambodhana:dvi
kOnteyayoH,2,kaunteya:saptami:dvi;kaunteya:sasthi:dvi
kOnteyeByaH,2,kaunteya:caturthi:bahu;kaunteya:panchami:bahu
kartarO,3,kartr:dvitiya:dvi;kartr:prathama:dvi;kartr:sambodhana:dvi
kartaraH,2,kartr:prathama:bahu;kartr:sambodhana:bahu
kartfByAm,3,kartr:caturthi:dvi;kartr:panchami:dvi;kartr:trtiya:dvi
kartfByaH,2,kartr:caturthi:bahu;kartr:panchami:bahu
kartrIByAm,3,kartri:caturthi:dvi;kartri:panchami:dvi;kartri:trtiya:dvi
kartrIByaH,2,kartri:caturthi:bahu;kartri:panchami:bahu
kartroH,2,kartr:saptami:dvi;kartr:sasthi:dvi
kartryAH,2,kartri:panchami:eka;kartri:sasthi:eka
kartryO,3,kartri:dvitiya:dvi;kartri:prathama:dvi;kartri:sambodhana:dvi
kartryaH,2,kartri:prathama:bahu;kartri:sambodhana:bahu
kartryoH,2,kartri:saptami:dvi;kartri:sasthi:dvi
kartuH,2,kartr:panchami:eka;kartr:sasthi:eka
mahApuruzAByAm,3,mahapurusha:caturthi:dvi;mahapurusha:panchami:dvi;mahapurusha:trtiya:dvi
mahApuruzAH,2,mahapurusha:prathama:bahu;mahapurusha:sambodhana:bahu
mahApuruzO,3,mahapurusha:dvitiya:dvi;mahapurusha:prathama:dvi;mahapurusha:sambodhana:dvi
mahApuruzatvAByAm,3,mahapurushatva:caturthi:dvi;mahapurushatva:panchami:dvi;mahapurushatva:trtiya:dvi
mahApuruzatvAni,3,mahapurushatva:dvitiya:bahu;mahapurushatva:prathama:bahu;mahapurushatva:sambodhana:bahu
mahApuruzatvam,2,mahapurushatva:dvitiya:eka;mahapurushatva:prathama:eka
mahApuruzatvayoH,2,mahapurushatva:saptami:dvi;mahapurushatva:sasthi:dvi
mahApuruzatve,4,mahapurushatva:dvitiya:dvi;mahapurushatva:prathama:dvi;mahapurushatva:sambodhana:dvi;mahapurushatva:saptami:eka
mahApuruzatveByaH,2,mahapurushatva:caturthi:bahu;mahapurushatva:panchami:bahu
mahApuruzayoH,2,mahapurusha:saptami:dvi;mahapurusha:sasthi:dvi
mahApuruzeByaH,2,mahapurusha:caturthi:bahu;mahapurusha:panchami:bahu
mitratvAByAm,3,mitratva:caturthi:dvi;mitratva:panchami:dvi;mitratva:trtiya:dvi
mitratvAni,3,mitratva:dvitiya:bahu;mitratva:prathama:bahu;mitratva:sambodhana:bahu
mitratvam,2,mitratva:dvitiya:eka;mitratva:prathama:eka
mitratvayoH,2,mitratva:saptami:dvi;mitratva:sasthi:dvi
mitratve,4,mitratva:dvitiya:dvi;mitratva:prathama:dvi;mitratva:sambodhana:dvi;mitratva:saptami:eka
mitratveByaH,2,mitratva:caturthi:bahu;mitratva:panchami:bahu
