form_slp1,coordinate_count,coordinates_json
BavatAd,2,"[""bhu:lot:Madhyama:Eka"", ""bhu:lot:Prathama:Eka""]"
BavatAt,2,"[""bhu:lot:Madhyama:Eka"", ""bhu:lot:Prathama:Eka""]"
akarizyata,2,"[""kr:lrn:Madhyama:Bahu"", ""kr:lrn:Prathama:Eka""]"
akuruta,2,"[""kr:lan:Madhyama:Bahu"", ""kr:lan:Prathama:Eka""]"
baBUva,3,"[""bhu:lit:Madhyama:Bahu"", ""bhu:lit:Prathama:Eka"", ""bhu:lit:Uttama:Eka""]"
cakAra,2,"[""kr:lit:Prathama:Eka"", ""kr:lit:Uttama:Eka""]"
cakre,2,"[""kr:lit:Prathama:Eka"", ""kr:lit:Uttama:Eka""]"
eDAYcakre,2,"[""edh:lit:Prathama:Eka"", ""edh:lit:Uttama:Eka""]"
eDAmAsa,3,"[""edh:lit:Madhyama:Bahu"", ""edh:lit:Prathama:Eka"", ""edh:lit:Uttama:Eka""]"
eDAmbaBUva,3,"[""edh:lit:Madhyama:Bahu"", ""edh:lit:Prathama:Eka"", ""edh:lit:Uttama:Eka""]"
kurutAd,2,"[""kr:lot:Madhyama:Eka"", ""kr:lot:Prathama:Eka""]"
kurutAm,2,"[""kr:lot:Prathama:Dvi"", ""kr:lot:Prathama:Eka""]"
kurutAt,2,"[""kr:lot:Madhyama:Eka"", ""kr:lot:Prathama:Eka""]"
