upasarga_id,upasarga_order,source_forms_slp1,engine_input_slp1,source_code,gana,aupadeshika_slp1,source_artha_slp1,engine_status,output_forms_slp1,output_variant_count
pra,1,pra,pra,01.0001,BvAdi,BU,sattAyAm,generated,praBU,1
pra,1,pra,pra,01.0002,BvAdi,eDa~\,vfdDO,generated,prED,1
pra,1,pra,pra,01.0003,BvAdi,sparDa~\,saNGarze,generated,prasparD,1
pra,1,pra,pra,01.0004,BvAdi,gADf~\,pratizWAlipsayorgranTe ca,generated,pragAD,1
pra,1,pra,pra,01.0005,BvAdi,bADf~\,"loqane, rowane",generated,prabAD,1
pra,1,pra,pra,01.0006,BvAdi,nADf~\,yAcYopatApESvaryASIzzu,generated,pranAD,1
pra,1,pra,pra,01.0007,BvAdi,nATf~\,yAcYopatApESvaryASIzzu,generated,pranAT,1
pra,1,pra,pra,01.0008,BvAdi,daDa~\,DAraRe,generated,pradaD,1
pra,1,pra,pra,01.0009,BvAdi,skudi~\,ApravaRe,generated,praskund,1
pra,1,pra,pra,01.0010,BvAdi,Svidi~\,SvEtye,generated,praSvind,1
pra,1,pra,pra,01.0011,BvAdi,vadi~\,aBivAdanastutyoH,generated,pravand,1
pra,1,pra,pra,01.0012,BvAdi,Badi~\,kalyARe suKe ca,generated,praBand,1
pra,1,pra,pra,01.0013,BvAdi,madi~\,stutimodamadasvapnakAntigatizu,generated,pramand,1
pra,1,pra,pra,01.0014,BvAdi,spadi~\,kiYciccalane,generated,praspand,1
pra,1,pra,pra,01.0015,BvAdi,klidi~\,paridevane,generated,praklind,1
pra,1,pra,pra,01.0016,BvAdi,muda~\,harze,generated,pramud,1
pra,1,pra,pra,01.0017,BvAdi,dada~\,dAne,generated,pradad,1
pra,1,pra,pra,01.0018,BvAdi,zvada~\,AsvAdane,generated,prasvad,1
pra,1,pra,pra,01.0019,BvAdi,svarda~\,AsvAdane,generated,prasvard,1
pra,1,pra,pra,01.0020,BvAdi,urda~\,mAne krIqAyAM AsvAdane ca,generated,praUrd,1
pra,1,pra,pra,01.0021,BvAdi,kurda~\,krIqAyAm eva,generated,prakUrd,1
pra,1,pra,pra,01.0022,BvAdi,Kurda~\,krIqAyAm eva,generated,praKUrd,1
pra,1,pra,pra,01.0023,BvAdi,gurda~\,krIqAyAm eva,generated,pragUrd,1
pra,1,pra,pra,01.0024,BvAdi,guda~\,krIqAyAm eva,generated,pragud,1
pra,1,pra,pra,01.0025,BvAdi,zUda~\,kzaraRe,generated,prasUd,1
pra,1,pra,pra,01.0026,BvAdi,hrAda~\,avyakte Sabde,generated,prahrAd,1
pra,1,pra,pra,01.0027,BvAdi,hlAdI~\,avyakte Sabde suKe ca,generated,prahlAd,1
pra,1,pra,pra,01.0028,BvAdi,svAda~\,AsvAdane,generated,prasvAd,1
pra,1,pra,pra,01.0029,BvAdi,parda~\,kutsite Sabde,generated,prapard,1
pra,1,pra,pra,01.0030,BvAdi,yatI~\,prayatne,generated,prayat,1
pra,1,pra,pra,01.0031,BvAdi,yutf~\,BAsane,generated,prayut,1
pra,1,pra,pra,01.0032,BvAdi,jutf~\,BAsane,generated,prajut,1
pra,1,pra,pra,01.0033,BvAdi,viTf~\,yAcane,generated,praviT,1
pra,1,pra,pra,01.0034,BvAdi,veTf~\,yAcane,generated,praveT,1
pra,1,pra,pra,01.0035,BvAdi,SraTi~\,SETilye,generated,praSranT,1
pra,1,pra,pra,01.0036,BvAdi,graTi~\,kOwilye,generated,pragranT,1
pra,1,pra,pra,01.0037,BvAdi,katTa~\,SlAGAyAm,generated,prakatT,1
pra,1,pra,pra,01.0038,BvAdi,ata~,sAtatyagamane,generated,praat,1
pra,1,pra,pra,01.0039,BvAdi,citI~,saMjYAne,generated,pracit,1
pra,1,pra,pra,01.0040,BvAdi,cyuti~r,Asecane,generated,pracyut,1
pra,1,pra,pra,01.0041,BvAdi,Scuti~r,Asecane,generated,praScut,1
pra,1,pra,pra,01.0042,BvAdi,Scyuti~r,kzaraRe,generated,praScyut,1
pra,1,pra,pra,01.0043,BvAdi,jyutf~,BAsane,generated,prajyut,1
pra,1,pra,pra,01.0044,BvAdi,maTi~,hiMsAsaNkleSanayoH,generated,pramanT,1
pra,1,pra,pra,01.0045,BvAdi,kuTi~,hiMsAsaNkleSanayoH,generated,prakunT,1
pra,1,pra,pra,01.0046,BvAdi,puTi~,hiMsAsaNkleSanayoH,generated,prapunT,1
pra,1,pra,pra,01.0047,BvAdi,luTi~,hiMsAsaNkleSanayoH,generated,pralunT,1
pra,1,pra,pra,01.0048,BvAdi,manTa~,viloqane,generated,pramanT,1
pra,1,pra,pra,01.0049,BvAdi,ziDa~,gatyAm,generated,prasiD,1
pra,1,pra,pra,01.0050,BvAdi,ziDU~,SAstre (SAsane) mANgalye ca,generated,prasiD,1
pra,1,pra,pra,01.0051,BvAdi,KAdf~,BakzaRe,generated,praKAd,1
pra,1,pra,pra,01.0052,BvAdi,Kada~,sTErye hiMsAyAM BakzaRe ca,generated,praKad,1
pra,1,pra,pra,01.0053,BvAdi,bada~,sTErye,generated,prabad,1
pra,1,pra,pra,01.0054,BvAdi,gada~,vyaktAyAM vAci,generated,pragad,1
pra,1,pra,pra,01.0055,BvAdi,rada~,vileKane,generated,prarad,1
pra,1,pra,pra,01.0056,BvAdi,Rada~,avyakte Sabde,generated,praRad,1
pra,1,pra,pra,01.0057,BvAdi,arda~,gatO yAcane ca,generated,praard,1
pra,1,pra,pra,01.0058,BvAdi,narda~,Sabde,generated,pranard,1
pra,1,pra,pra,01.0059,BvAdi,garda~,Sabde,generated,pragard,1
pra,1,pra,pra,01.0060,BvAdi,tarda~,hiMsAyAm,generated,pratard,1
pra,1,pra,pra,01.0061,BvAdi,karda~,kutsite Sabde,generated,prakard,1
pra,1,pra,pra,01.0062,BvAdi,Karda~,dandaSUke (sarpadaMSe),generated,praKard,1
pra,1,pra,pra,01.0063,BvAdi,ati~,banDane,generated,praant,1
pra,1,pra,pra,01.0064,BvAdi,adi~,banDane,generated,praand,1
pra,1,pra,pra,01.0065,BvAdi,idi~,paramESvarye,generated,praind,1
pra,1,pra,pra,01.0066,BvAdi,bidi~,avayave,generated,prabind,1
pra,1,pra,pra,01.0067,BvAdi,Bidi~,avayave,generated,praBind,1
pra,1,pra,pra,01.0068,BvAdi,gaqi~,vadanEkadeSe,generated,pragaRq,1
pra,1,pra,pra,01.0069,BvAdi,Ridi~,kutsAyAm,generated,praRind,1
pra,1,pra,pra,01.0070,BvAdi,wunadi~,samfdDO,generated,pranand,1
pra,1,pra,pra,01.0071,BvAdi,cadi~,AhlAde dIptO ca,generated,pracand,1
pra,1,pra,pra,01.0072,BvAdi,tradi~,cezwAyAm,generated,pratrand,1
pra,1,pra,pra,01.0073,BvAdi,kadi~,AhvAne rodane ca,generated,prakand,1
pra,1,pra,pra,01.0074,BvAdi,kradi~,AhvAne rodane ca,generated,prakrand,1
pra,1,pra,pra,01.0075,BvAdi,kladi~,AhvAne rodane ca,generated,prakland,1
pra,1,pra,pra,01.0076,BvAdi,klidi~,paridevane,generated,praklind,1
pra,1,pra,pra,01.0077,BvAdi,SunDa~,SudDO,generated,praSunD,1
pra,1,pra,pra,01.0078,BvAdi,SIkf~\,secane,generated,praSIk,1
pra,1,pra,pra,01.0079,BvAdi,sIkf~\,secane,generated,prasIk,1
pra,1,pra,pra,01.0080,BvAdi,lokf~\,darSane,generated,pralok,1
pra,1,pra,pra,01.0081,BvAdi,Slokf~\,saNGAte,generated,praSlok,1
pra,1,pra,pra,01.0082,BvAdi,Srekf~\,gatO,generated,praSrek,1
pra,1,pra,pra,01.0083,BvAdi,drekf~\,SabdotsAhayoH,generated,pradrek,1
pra,1,pra,pra,01.0084,BvAdi,Drekf~\,SabdotsAhayoH,generated,praDrek,1
pra,1,pra,pra,01.0085,BvAdi,rekf~\,SaNkAyAm,generated,prarek,1
pra,1,pra,pra,01.0086,BvAdi,sekf~\,gatO,generated,prasek,1
pra,1,pra,pra,01.0087,BvAdi,srekf~\,gatO,generated,prasrek,1
pra,1,pra,pra,01.0088,BvAdi,sraki~\,gatO,generated,prasraNk,1
pra,1,pra,pra,01.0089,BvAdi,Sraki~\,gatO,generated,praSraNk,1
pra,1,pra,pra,01.0090,BvAdi,Slaki~\,gatO,generated,praSlaNk,1
pra,1,pra,pra,01.0091,BvAdi,Saki~\,SaNkAyAm,generated,praSaNk,1
pra,1,pra,pra,01.0092,BvAdi,aki~\,lakzaRe,generated,praaNk,1
pra,1,pra,pra,01.0093,BvAdi,vaki~\,kOwilye,generated,pravaNk,1
pra,1,pra,pra,01.0094,BvAdi,maki~\,maRqane,generated,pramaNk,1
pra,1,pra,pra,01.0095,BvAdi,kaka~\,lOlye,generated,prakak,1
pra,1,pra,pra,01.0096,BvAdi,kuka~\,AdAne,generated,prakuk,1
pra,1,pra,pra,01.0097,BvAdi,vfka~\,AdAne,generated,pravfk,1
pra,1,pra,pra,01.0098,BvAdi,caka~\,tfptO pratIGAte ca,generated,pracak,1
pra,1,pra,pra,01.0099,BvAdi,kaki~\,gatO,generated,prakaNk,1
pra,1,pra,pra,01.0100,BvAdi,vaki~\,gatO,generated,pravaNk,1
pra,1,pra,pra,01.0101,BvAdi,Svaki~\,gatO,generated,praSvaNk,1
pra,1,pra,pra,01.0102,BvAdi,traki~\,gatO,generated,pratraNk,1
pra,1,pra,pra,01.0103,BvAdi,QOkf~\,gatO,generated,praQOk,1
pra,1,pra,pra,01.0104,BvAdi,trOkf~\,gatO,generated,pratrOk,1
pra,1,pra,pra,01.0105,BvAdi,zvazka~\,gatO,generated,prazvazk,1
pra,1,pra,pra,01.0106,BvAdi,vaska~\,gatO,generated,pravask,1
pra,1,pra,pra,01.0107,BvAdi,maska~\,gatO,generated,pramask,1
pra,1,pra,pra,01.0108,BvAdi,wikf~\,gatO,generated,prawik,1
pra,1,pra,pra,01.0109,BvAdi,wIkf~\,gatO,generated,prawIk,1
pra,1,pra,pra,01.0110,BvAdi,tikf~\,gatO,generated,pratik,1
pra,1,pra,pra,01.0111,BvAdi,tIkf~\,gatO,generated,pratIk,1
pra,1,pra,pra,01.0112,BvAdi,raGi~\,gatO,generated,praraNG,1
pra,1,pra,pra,01.0113,BvAdi,laGi~\,gatO BojananivfttO ca,generated,pralaNG,1
pra,1,pra,pra,01.0114,BvAdi,zvakka~\,gatO,generated,prasvakk,1
pra,1,pra,pra,01.0115,BvAdi,aGi~\,gatyAkzepe,generated,praaNG,1
pra,1,pra,pra,01.0116,BvAdi,vaGi~\,gatyAkzepe,generated,pravaNG,1
pra,1,pra,pra,01.0117,BvAdi,maGi~\,gatyAkzepe gatyAramBe kEtave ca,generated,pramaNG,1
pra,1,pra,pra,01.0118,BvAdi,rAGf~\,sAmarTye,generated,prarAG,1
pra,1,pra,pra,01.0119,BvAdi,lAGf~\,sAmarTye,generated,pralAG,1
pra,1,pra,pra,01.0120,BvAdi,drAGf~\,sAmarTye AyAme ca,generated,pradrAG,1
pra,1,pra,pra,01.0121,BvAdi,DrAGf~\,sAmarTye,generated,praDrAG,1
pra,1,pra,pra,01.0122,BvAdi,SlAGf~\,katTane,generated,praSlAG,1
pra,1,pra,pra,01.0123,BvAdi,Pakka~,nIcErgatO,generated,praPakk,1
pra,1,pra,pra,01.0124,BvAdi,taka~,hasane,generated,pratak,1
pra,1,pra,pra,01.0125,BvAdi,taki~,kfcCrajIvane,generated,prataNk,1
pra,1,pra,pra,01.0126,BvAdi,bukka~,BazaRe,generated,prabukk,1
pra,1,pra,pra,01.0127,BvAdi,Suka~,gatO,generated,praSuk,1
pra,1,pra,pra,01.0128,BvAdi,kaKa~,hasane,generated,prakaK,1
pra,1,pra,pra,01.0129,BvAdi,oKf~,SozaRAlamarTayoH,generated,proK,1
pra,1,pra,pra,01.0130,BvAdi,rAKf~,SozaRAlamarTayoH,generated,prarAK,1
pra,1,pra,pra,01.0131,BvAdi,lAKf~,SozaRAlamarTayoH,generated,pralAK,1
pra,1,pra,pra,01.0132,BvAdi,drAKf~,SozaRAlamarTayoH,generated,pradrAK,1
pra,1,pra,pra,01.0133,BvAdi,DrAKf~,SozaRAlamarTayoH,generated,praDrAK,1
pra,1,pra,pra,01.0134,BvAdi,SAKf~,vyAptO,generated,praSAK,1
