varna,category,place,class,count,share_of_total
a,svara,,,191129,0.210176
ā,svara,,,60055,0.066040
t,vyañjana,dantya,stop-unvoiced-unasp,55769,0.061327
i,svara,,,51849,0.057016
m,vyañjana,oṣṭhya,nasal,51153,0.056251
v,vyañjana,oṣṭhya,antaḥstha,48659,0.053508
ḥ,ayogavāha,,,43583,0.047926
r,vyañjana,mūrdhanya,antaḥstha,43309,0.047625
n,vyañjana,dantya,nasal,42967,0.047249
y,vyañjana,tālavya,antaḥstha,37056,0.040749
s,vyañjana,dantya,ūṣman,36456,0.040089
u,svara,,,28548,0.031393
e,svara,,,25114,0.027617
d,vyañjana,dantya,stop-voiced-unasp,20406,0.022440
p,vyañjana,oṣṭhya,stop-unvoiced-unasp,18307,0.020131
ṣ,vyañjana,mūrdhanya,ūṣman,14197,0.015612
h,vyañjana,kaṇṭhya,ūṣman,13664,0.015026
ś,vyañjana,tālavya,ūṣman,11992,0.013187
k,vyañjana,kaṇṭhya,stop-unvoiced-unasp,11230,0.012349
bh,vyañjana,oṣṭhya,stop-voiced-asp,10555,0.011607
ṛ,svara,,,10496,0.011542
j,vyañjana,tālavya,stop-voiced-unasp,10030,0.011030
ī,svara,,,9907,0.010894
dh,vyañjana,dantya,stop-voiced-asp,9605,0.010562
o,svara,,,7812,0.008590
c,vyañjana,tālavya,stop-unvoiced-unasp,7742,0.008514
g,vyañjana,kaṇṭhya,stop-voiced-unasp,7343,0.008075
ṇ,vyañjana,mūrdhanya,nasal,7141,0.007853
ū,svara,,,6280,0.006906
th,vyañjana,dantya,stop-unvoiced-asp,4755,0.005229
b,vyañjana,oṣṭhya,stop-voiced-unasp,2652,0.002916
ai,svara,,,1553,0.001708
ayogavāha-anusvāra,ayogavāha,,,1479,0.001626
gh,vyañjana,kaṇṭhya,stop-voiced-asp,1458,0.001603
ñ,vyañjana,tālavya,nasal,1247,0.001371
au,svara,,,1206,0.001326
ch,vyañjana,tālavya,stop-unvoiced-asp,739,0.000813
kh,vyañjana,kaṇṭhya,stop-unvoiced-asp,697,0.000766
l,vyañjana,dantya,antaḥstha,545,0.000599
ṅ,vyañjana,kaṇṭhya,nasal,478,0.000526
ḍ,vyañjana,mūrdhanya,stop-voiced-unasp,111,0.000122
ph,vyañjana,oṣṭhya,stop-unvoiced-asp,63,0.000069
ḍh,vyañjana,mūrdhanya,stop-voiced-asp,40,0.000044
jh,vyañjana,tālavya,stop-voiced-asp,1,0.000001
